stage,eye,glial,ionocyte,mesenchyme,neural
 24-34,0,0,0,0,20.74
 48-58,0,0,0,0.7,0
 60-70,0,0.94,0,0,0
108-118,0,0,0.85,0,0
120,14.53,0,0,0,0
