stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,0,0,0,0
 24-34,0,0,0,5.35,3.2,0,0,0,0,0,0,0,7.49,0,0,0,0,0,12.71,0,0,0,0,0,14.86,0.65,0,0,0,0,0.74,0,297.39,0,2.5,0,0,4.27,0,0
 36-46,0,0,0,0,0,0,0,0.94,0,0,0,0,13.47,0,0,0,0,0,32.97,0,0,0,0,0,8.5,0,0,0,0,0,1.16,0,231,0,0,0,0,0,0,0
 48-58,0,0,0,1.38,0,0,0,3.98,0,0,0,1.63,35.91,0,0,0,0,0,149,0.43,0,0,0,0,31.67,0,0,0,0,0,0,0,70.6,0,8.36,0,0,0,0,0
 60-70,0.64,0,0,0,0,0,3.06,12.62,0,0,0,1.69,43.92,0,0,0,2.11,0,293.56,0,7.87,1.09,0,0,47.38,0,0,0,0,0,0,0,93.24,0,4.67,0,0,0,0,0
 72-82,0,0,2.11,3.85,1.13,3.93,75.55,34.83,0,0,0,3.48,83.9,0,0,0,0,0,889.82,0,6.69,1.52,0.88,0,149.56,0,0,0,0,0,5,0,94.18,0,10.57,0,0,0.5,0,0
 84-94,0,0,4.43,10.36,9.91,3.74,176.69,23.12,0,0,0.87,6.59,126.38,0,5.02,0,10.27,0,2476.51,0,21.31,0,3.04,0.64,205.78,0,0,3.58,0,0,2.75,0,237.46,0,0,0,0,3.36,0.89,4.14
 96-106,0,0,1.15,18.57,9.83,61.87,106.65,133.23,0,3.39,9.01,39.46,98.87,0,10.51,0,0.89,0.61,3844.07,0,77.94,3.04,1.32,5.58,473.95,0.7,4.64,1.04,0,0,40.73,3.82,229.06,0,21.73,0.56,0.72,22.56,2.94,3.55
108-118,0,0,0.58,26.64,11.29,8.49,162.82,151.12,1.47,12.78,3.55,33.43,71.17,1.35,2.17,1.07,2.58,1.27,7406.39,5.3,68.45,1.6,2.76,6.57,530.89,0.55,0.51,1.87,0,3.32,12.51,0,272.37,1.43,0,1.74,0,13.63,0.77,4.03
120,0,0,0,15.52,71.23,36.17,44.3,42.82,0,3.71,8.5,47.69,72.43,1.15,5.34,0,0,0,4236.55,0,25.17,0,0,4.92,373.77,0,1.29,8.63,0,0,8.16,0,182.97,0,0,0,1.52,12.47,1.43,0
