stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,110.07,2445.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,135.59,1111.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,41.09,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08,73.58,0,0,1077.4,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.42,0,11.73,0,0,0,3.43,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,271.2,97.69,0,0,817.89,0,36.73,5.85,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.64,374.22,3.35,0,5.33,0,0.82,0,30.46,19.79,0,7.38,0,7.31,0,1.12,0,17.03,3.5,0,13.06,483.62,16.1,0,13.27,16.34,0,356.25,0,86.59,0,0,12.17,277.43,0,0,1.8,0,0
 24-34,0,0,1.66,8.67,366.69,0.66,0,18.7,0,24.49,0,31.68,7.39,0,12.05,0.8,9.05,0,1.62,0.65,58.86,8.2,0,29,785.93,1.41,18.4,11.97,0,2.6,654.03,0,0,2.36,5.89,2.9,251.92,0,0,25.98,0,0
 36-46,0,0,0,0.56,247.7,0,0,13.29,0,73.6,0,26.86,2.4,4.4,10.91,3.21,6.47,0.57,3.73,12.32,94.04,11.99,4.03,9.23,924.98,4.05,19.94,3.86,0,0,772.35,0,0,0,0,0,228.68,0,0,16.86,0,0
 48-58,0,0,0,0,122.9,0.41,0,94.34,0,93.17,0,38.32,0.56,0,4.3,5.39,7.66,1.49,0.78,0,73.52,21.14,12.7,22.35,1354.15,0,9.7,10.66,0,0.46,509.77,0,0,0.9,0,0,160.85,0,0,23.39,0,0
 60-70,0,0,0,0,192.23,2.72,0,382.78,0,105.69,0.84,92.54,8.9,0,0,10.15,12.55,3.27,5.53,2.6,124.64,23.24,9.9,3.69,2172.23,0.71,13.48,8.25,0,0,485.31,0,0,2.43,0,0,143.46,2.05,2.85,21,2.85,13.81
 72-82,0,0,1.25,0,138.27,2.76,0,859.32,0,97.75,0.56,102.4,10.25,1.7,2.8,4.49,3.08,3.44,7.74,1.24,149.86,26.8,24.64,5.26,2748.53,1.15,26.42,14.47,0,3.34,304.06,1.65,0,1.3,0,0,134.37,4.44,6.27,54.38,16.95,0
 84-94,0,0,0,1.68,265.22,7.01,0,586.55,0.68,148.61,0.86,86.59,19.39,1.3,2.64,16.86,16.79,11.44,7.38,6.49,154.48,26.66,17,6.79,1853.62,0,46.7,7.08,0,4.38,746.34,0,0,3.67,0,0,110.38,21.83,2.39,39.15,16.67,0.8
 96-106,0,0,0,0,342.36,21.75,0.63,730.01,0,127.79,3.16,119.03,22.5,1.32,6.06,21.66,23.55,2.82,10.65,16.99,184.81,46.93,14.51,6.77,1756.83,1.59,36.87,22.3,0,2.14,671.06,0,0,2.15,0,0,39.16,27.37,4.62,42.96,24.03,3.88
108-118,0,0,3.05,2.18,350.62,5.95,2.64,746.22,1.13,192.89,0.47,113.73,44.2,0,2.14,14.66,26.87,3.57,4.39,20.37,196.06,76.83,24.98,6.62,1896.98,0.69,46.68,33.29,0,1.86,531.88,0,0,3.37,0,0,61.65,51.12,4.18,30.59,10.42,0
120,0,0,0,0,443.93,0,42.34,709.03,0,116.94,1.6,146.4,30.45,0,6.85,56.12,17.69,1.17,4.5,36.62,150.43,15.88,46.18,4.48,2741.59,0,39.6,20.33,0,1.79,452.83,0,0,5.54,0,0,38.35,32.63,0,44.29,33.4,0
