stage,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,otic,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,0.95,0,0,0,0,0,0,1.11,0,0,1.71,0.89,1.13,0
 24-34,0.8,0,0,0,0,0,0,7.09,0,0,0,0,0,1.06
 36-46,0,0,0,0,0,0,0,5.12,0,0.97,0,0,0,2.73
 48-58,0.51,2.19,0,0.42,0,0.48,0,22.16,2.29,0,0,0,0,2.27
 60-70,0,2.57,0.97,0,0.82,1.53,0,4.72,0,0,0,0,0,0
 72-82,0,15.37,4.47,0,0,2.22,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.47,0,8.52,0,0,0,0,0,0
 96-106,0,0,1.25,0,0,1.83,3.62,1.62,0,0,0,0,0,0
108-118,0,1.03,0,0,0,1.72,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0
