stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.69,191.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.28,143.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.7,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,4.58,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,52.72,0,0,0,22.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.3,0,0,6.02,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1.07,0,0,0.81,39.46,0,0.98,0.93,0,0,2.86,0,0,2.82,10.36,0,0,4.33,0,0
 24-34,0,0,0,1.31,2.64,0,16.76,0,0.62,0,0,0.66,0,0,0,0.81,0,0,0,0,8.25,4.95,0,1.8,102.19,0,1.86,8.73,0,0,4.86,0,0.67,0,11.05,0,0,1.75,0,0
 36-46,0,0,0,13.93,0,0,6.75,0,0,0,4.53,2.82,0,0,0,0,0,6.69,0,0,5.11,0,2.24,6.46,57.06,0,1.95,11.99,0,0,7.54,0,0,0,7.72,0,0,0,0,7.54
 48-58,0,0,1.09,17.68,0,0,11.87,2.45,4.09,1.06,11.79,0,0,0,0,0,0,2.4,0.66,7.65,16.46,0,0.47,4.05,60.08,3.45,1.83,14.11,0,0,7.91,0.38,0,0,33.52,0,0,0,0,6.23
 60-70,0,0,0,3.22,0,0,44.27,0,0,1.8,14.13,1.06,0,0,0.84,0,0.67,2.51,1.83,0,23.67,0,0.63,1.72,41.35,0.83,4.14,25.36,0,0,19.47,0,0,0,22.04,0,0,0,1.78,3.9
 72-82,0,0,1.14,9.05,0.57,1.04,36.7,0,7.74,4.73,44.45,0.51,0,0,0,0.93,1.36,9.6,0,0.5,61.13,2.31,4.97,3.12,77.5,1.35,4.25,52.11,0,0,12.25,1.81,0.77,0,5.35,0,0.49,0.73,8.22,14.47
 84-94,0,0,0,26.18,7.13,0,69.78,1.8,14.64,0.89,53.07,5.87,0,2.23,0.97,4.88,0.7,1.94,0.63,0,72.01,2.44,4.3,7.26,49.66,4.43,8.73,53.82,0,0,31.88,1.54,2.12,0,18.24,3.1,1.86,4.89,5.05,0
 96-106,0,0,1.04,26.55,8.52,0,77.52,1.45,6.13,5.81,50.17,2.81,0,1.55,1.99,0.74,0,17.69,1.2,0,55.17,0,1.91,3.35,59.67,0,2.19,71.18,0,1.04,38.93,0,0,0,8.62,3.17,0,4.43,8.5,3.26
108-118,0,0,2.98,82.48,0,7.85,72.01,5.39,25.07,6.64,88.98,6.22,0,0,1.6,5.14,2.62,4.79,0.48,1.69,99.73,0.53,11.09,4.13,92.38,0.43,4.04,55.55,0,0,38.54,0.47,1.45,0,3.34,0,0.77,6.69,5.36,2.36
120,0,0,0,61.61,16.4,0,79.1,1.58,24.03,3.22,94.79,2.59,0,0,1.69,1.77,0,5.23,0,0,109.68,4.59,0,1.03,66.79,3.89,6.59,77.25,0,0,16.96,1.13,0,0,1.34,0,0,1.23,13.88,14.08
