stage,epidermis,erythrocytes,neural,olfactory,otic,pronephros
 36-46,0,0,0,0,1.46,0
 72-82,0,0,0,0,0,7.56
 84-94,0,0,0,0,0,14.73
 96-106,0,2.68,0,0,0,11.34
108-118,0,0,0,0.7,0,8.75
120,1.22,0,3.35,0,0,8.78
