stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.07,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,21.53,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84,0,0,0,4.79,0,0,0,15.22,0,3.11,0,0,0,0,0,0
 14-21,0,0,3.88,34.84,12.13,0,4.76,0,0,3.31,14.75,0,8.33,0,2.14,0.87,0,0,60.36,0,0,30.61,191.38,105.39,0,0.96,2.51,0,0,9.27,5.72,4.32,27.45,60.89,0,0,7.16,0,0
 24-34,0,0,2.12,8.82,0,0,21.36,0.86,0,15.01,1.97,1.11,2.16,0,0,0,1.05,0,93.85,0,0,29.57,370.29,6.65,3.9,0.67,0,0,0,0,2.42,0.94,3.32,59.68,0,0,32.73,0,0
 36-46,0,0,0.89,4.09,0,0,57.71,0,1.19,33.44,0,0,1.21,0,0.56,0.56,1.69,6.95,59.13,0,5.31,10.65,310.82,2.9,2.95,2.03,0,0,0.84,0,0,0,0.83,53.94,0,0,9.34,0,0
 48-58,0,0,0,3.33,0,0,157.84,2.83,2.36,50.29,0,0,0.54,0,0,0,1.57,2.73,30.38,0,3.17,6.05,232.18,0.39,4.39,0,0,0.4,0.69,0,2.13,0,0,45.69,0,0.91,6.63,0,3.95
 60-70,0,0,0,1.29,0,0,547.82,0,0,69.22,6.59,0,0,0,0,0,0.95,0,64.09,2.44,6.11,3.83,116.27,0,7.48,0,0,1.13,0,0,7.9,0,0,51.57,0,1.72,11.38,0,2.71
 72-82,0,0,0,8.93,0.59,0,288.01,6.3,0,20.51,2.34,0,2.04,0,0,0,1.35,0,44.21,1.66,7.62,3.79,34.48,0,1.96,1.07,0,0,0.53,0,0,0,0,4.44,1.34,0,43.57,0,1.68
 84-94,0,0,0,17.31,0,0,182.64,0.86,7.16,38.27,2.14,0,1.18,1.84,0,0,2.16,1.76,65.39,1.39,10.6,6.95,40.13,1.42,0,0,0,0,2.44,0,0,0,0,3.22,0,0.92,15.18,1.91,5.4
 96-106,0,0,0,10.2,0,0.8,95.23,0,0,20.36,2.56,0,2.2,1.06,0,0,0.79,0,41.48,0,0,1.54,46.09,0,5.33,0,0,0,12.63,0,0,0,0,7.41,1.82,0.83,26.94,0,0
108-118,0,5.04,0,2.98,0,0.5,94.65,0.52,2.3,34.01,5.44,0,8.2,0,0,0.56,2.83,0,42.26,0,3.81,10.95,61.41,0,0,1.35,0,0,0,0,1.71,0,0,2.51,6.61,3.08,21.32,2.7,7.76
120,0,0,0,6.2,0,0,85.69,0,1.49,22.29,2.91,0,10.58,0,0,0,0,0,34.34,1.05,6.9,11.03,47.58,0,7.8,0,0,0,2.8,0,0,0,0,0,0,0,41.14,0,0
