stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,141.18,0,0,0,0,0,0,0,0,0,0,0,29.71,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.11,13.36,0,0,0,0,0,0,0,0,177.4,0,0,0,0,0,0,0,0,0,0,0,162.97,0,0,0,40.47,0,0,0,10.18,0,0,0,0,0,0,0
 14-21,0,1.32,111.56,42.67,18.15,0,0,0,0,0,8.01,20.22,0,0.98,0,0,0,0,379.12,0,0,611.31,390.51,1.06,0,3.91,0,0,0,110.21,0.89,1.23,413.99,65.57,0,4,0,2.62
 24-34,0,1.41,141.56,7.01,27.17,0,5.05,8.83,5.07,1.28,0.67,35.73,0,1.34,1.64,0.63,2.25,6.43,880.68,0,1.73,588.93,291.38,2.33,0,6.82,0,0,6.2,5.82,0,3.01,70.16,70.41,0,9.29,0,0
 36-46,0,0,102.54,0,50.27,0.88,11.73,31.77,14.29,0,0,16.7,0,0,0,0.56,1.5,0,1090.95,0.56,9.52,424.91,238.26,0.58,3.54,3.38,0,0.97,1.46,17.66,0,0,0.79,55.6,1.89,11.8,0,0
 48-58,0,0,113.4,0.45,29.77,0.86,18.98,17.76,13.42,0.61,0,10.58,0,0,0.39,0,0,0,755.04,0.4,14.56,238.79,117.26,2.54,1.14,1.75,0,1.94,0.49,0,0,0,0,14.66,4.56,7.86,0.72,0.93
 60-70,0,0,94.05,0,53.22,0,9.45,16.74,0,1.29,0,14.65,4.08,0,0,1.39,0,0,601.37,4.46,37.27,103.95,84.96,0.58,0,0,0,25.1,3.64,0,0,6.88,0,3.19,7.76,2.55,2.95,0
 72-82,0,0,43.27,1.39,53.85,2.13,6.56,33.85,9.42,1.37,0,8.01,2.26,0,0.64,0.81,0,0,448.02,0.73,28.69,90.11,34.11,0.82,0,1.07,0,22.89,5.03,0,0,0,0,0.9,38.76,9.56,12.11,0
 84-94,0,0,113.02,0,42.55,3.44,3.85,14.59,5.44,0.77,0,19.61,1.26,0.57,0.66,0,0,0,416.03,1.28,36.88,94.88,50.43,1.52,0,0.6,0,23.33,1.36,0,0,0,0,4.33,21.01,17.97,10.23,0
 96-106,0,0,68.31,0,34.39,2.33,5.78,19.58,9.12,0.67,0,14.1,0,0,0,0.89,0,0,294.2,0.83,27.02,50.3,34.53,0,0,2.94,0,62.16,0.87,0,0,0,0,0,19.11,4.35,19.85,0
108-118,0,0,59.03,4.76,49.93,1.78,8.44,8.69,5.52,1.64,0,17.47,1.3,0.45,0,0,0,0,370.58,0,32.34,57.07,53.09,0.91,1.5,0,0,99.26,1.6,0,0,0,0,0,14.58,13.18,14.11,0
120,0,0,63.54,0,40.73,0,17.26,6.44,0,0,0,6.7,0,0,1.59,0,0,0,225.04,0,44.22,68.41,43.15,2.58,0,3.16,0,33.3,0,0,0,0,0,5.77,6.42,38,31.37,0
