stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,iridophores,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,136.46,1973.09,0,0,0,0,0,0,0,0,0,0,55.64,0,0,0
  5-6,143.99,1954.57,0,0,0,0,0,0,0,53.3,0,0,58.53,0,0,0
  7-9,32.55,8.22,4.81,0,3.93,0,0,0,0,147.7,20.79,90.73,4.29,15.8,0,0
 10-12,0,7.29,0,0,4.67,0,0,0,0,36.26,0,3.48,0,6.79,0,0
 14-21,0,0,0,1.27,0,0,0,0,0,5.83,0,0,0,0,0.83,0.97
 24-34,0,0,0,1.71,0,0,0,0,0,9.21,1.3,0,0,0,0,0.86
 36-46,0,0,0,0,0,0,0,0,0,0.7,0,0,2.96,0,0,0
 48-58,0,0,0,0,1.73,0,0,0,0,0.99,0,0,0,0,0,1.51
 60-70,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.06,0,0,0,0,0,0,0.68,0,0,0
108-118,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
