stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
 14-21,1.11,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,6.54,0,1.78,1.06,0,0
 24-34,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,0,0,68.98,0,0,0,1.29,0
 36-46,0,0,0,0,31.42,0,0,0,0.65,0,0,0,0,0,0,15.04,1.29,55.57,0,0,0,0,0
 48-58,0,0,0,0,16.48,0,0,0,0,0,0,0,0.53,0.51,0,0,0,23.33,0,0,0,0,0
 60-70,0,0,0,0,311.66,0,0,0,0,0,0,0,0,0,0,2.38,0,11.24,0,0,0,0,0
 72-82,0,1.11,0,0,1322.17,0,1.06,0,0,0,0,0,8.38,0,0,13.07,0,11.42,0,0,0,0,0.91
 84-94,2.22,4.21,0,0,1964.22,0,0,0.96,0,0,1.41,0,0.73,0,0,13.02,0,23.05,0.77,0,0,4.82,0.63
 96-106,0,0,4.7,0,1384.26,4.47,0.76,0,0,0.79,1.49,1.33,1.35,0,0,15.19,0,62.68,0,0,1.54,8.02,0
108-118,0,6.89,1.35,6.59,1080.9,0,0,0,0,0,1.44,0,3.13,0,0.88,10.67,2.66,38.66,0.98,0,0,1.94,0
120,0,2.45,0,3.69,917.88,0,2.82,0,0,0,0,0,0,0,0,26.04,0,81.33,2.36,0,0,7.63,0
