stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,30.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.98,40.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,4.69,0,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,86.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.8,0,69.43,0,0,0,0,0,0,9.25,1.11,4.12,0,30.35,71.97,0,0,1.01,28.87,1249.44,1.13,0,0,0,10.31,0,0,6.31,18.89,0,0,0,0,122.13
 24-34,0,0,0,2.36,0,0,339.74,0,0,1.42,0,0,0,65.42,8.18,70.07,0.63,16.28,312.3,3.44,1.09,2.25,88.69,784.44,0,0,0,1.08,0,31.15,0,1.45,22.69,0,0,29.36,0,484.02
 36-46,0,0,0,1.43,9.95,0,213.12,0,0,0.77,0,0.7,0,86.04,4.4,115.42,0,16.91,352.13,0,0,0,82.66,662.38,0,0,0,0,0,17.68,0.7,0,16.29,0,0,35.1,0,442.61
 48-58,0,0,0,5.9,0,0,213.61,0,0,3.03,0,4.79,0,66.54,0,217.84,0,3.03,215.09,3.49,0,1.03,54.03,589.61,0,0,0,0.5,0,9.71,0,0,18.38,0,0,24.8,0,347.31
 60-70,0.64,0,0,0,0,0,245.63,3.31,0,3.3,0.57,14.57,6.6,77.34,5.18,289.01,0,15.06,68.98,3.73,2.17,0,49.88,366.89,0,0,0,3.45,0,4.98,0,0,11.33,0,0.69,29.18,0.81,249.78
 72-82,0,0,0,1,0,0,139.7,0,6.81,7.8,6.35,1.92,0,87.17,0,209.24,0,1.07,64.21,18.57,2.55,0.63,28.12,184.58,0,0,0,0,0,30.52,0,0,1.09,0,0.78,27.2,0,235.89
 84-94,0,0,0,0.55,0,0,273.5,0,0,1.73,9.77,3.15,0,142.18,1.22,371.57,0,3.68,151.4,2.49,1.27,0,30.46,327.29,0,0,0,0,0,46.98,0,0,0,0,0,40.76,0,134.33
 96-106,2.68,0,0,3.76,4.14,1.14,157.19,0,6.01,13.49,10.24,0,0,135.83,4.82,322.58,0,3.51,114.37,25.97,3.85,0,42.62,229.44,1.72,0.68,1.17,13.12,0,29.41,0,0,1.45,0,0.69,59.85,0,105.96
108-118,0.67,0,0,9.49,4.84,0,164.04,0,3.81,2.3,15.16,0,0,125.55,7.82,596.64,0,0,140.32,28.15,2.55,2.73,24.69,279.48,0,0,0,10.29,0,20.08,0,0,1.98,0.54,1.23,34.39,0,155.88
120,2.82,0,0,1.18,0,0,102.45,0,1.85,2.23,45.76,0,0,196.53,3.64,344.3,0,7.97,37.51,63.51,0,0,20.45,455.97,0,0,0,6.46,0,28.19,0,0,0,1.81,0,34.29,0,62.01
