stage,endoderm,epidermis,glial,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord
 14-21,1.05,0,0,0,0,0,0,1.08,0,0,0
 24-34,0,0.68,0,0,0,0,0,0,0,0.96,0
 48-58,0,0,0,0,0,0,1.12,0,0,0,0
 60-70,0,0,0,0.93,0,0,4.11,0,0,0,2.49
 72-82,0,0,0,0,0,0,2.51,0,0,0,0
 84-94,0,0,0,0,0,1.83,0,0,0,0,0
 96-106,0,0,4.2,0,0,0,0,0,0,0,0
108-118,0,0,2.27,0,5,0,0,0,0,0,0
120,0,0,0,0,3.72,0,0,0,2.63,0,0
