stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.7,0,0,0,0,0,28.48,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,0.95,0,0,3.37,0,0,0,0,0,0,0,0,0.97,0,0,0,0.94,2.29,0,0,0,26.73,0,0,0,0,0,2.02,0,0,1.75,2.84,0,0,0,0,1.06
 24-34,0,0,0,0,0,0,1.34,0,0,0,1.36,0,0,0,0,1,0,0,0,0,0,0,0,0,26.24,0,0,0,0,2.82,0,0,0,0,8.11,0,0,0,0,1.38
 36-46,0,0,0,0.62,0,0,9.18,0,0,0,1.24,0,0,0,0,0,0,0,0,0,3.41,0,0.98,1.13,51.24,0,0.74,0,0,2.85,0,0,0,0,5.16,0,0,0.89,0,9.35
 48-58,0,0,0,0,0,0,32.9,0,0,0.42,4.54,0,0,0,0,0,0,0.45,0,0.39,3.5,0,0,0,90.46,0,0,0,0,4.65,0,0,0,0,11.24,0,0,0,0,0.38
 60-70,0,0,0,0,0,0,128.43,0,0,0,4.29,0,0,0,0,1.4,0,1.2,0,7.35,12.54,0,0,0,205.01,0,0.82,0,0.84,2.13,0,1.95,0,0,40.61,0,0,2.21,0,6.52
 72-82,0,0.5,0,3.58,0,0,122.55,0,0,0,3.55,0,0,0,0,0.74,0,0,0,0,6.3,0.61,1.1,0,124.03,0,0,0,0,6.32,0,0,0,0,11.47,0,0,2.53,0,0
 84-94,0,0.81,0,10.55,5.52,0,221.66,0,0,0,11.9,4.13,0,0,0.67,0,0,2.82,0,0,15.63,1.13,0,3.74,155.42,0,0.55,0,0,29.94,0,0,0,0,0,0,0,1.49,0.98,5.17
 96-106,0,0.95,0,22.53,0,2.99,340.59,0,1.53,1.08,13.25,1.54,0,0.78,2.46,0,0,3.14,0,0,40.92,7.05,1.42,3.69,110.03,2.92,1.38,0,0,35.33,0,0,0,0,2.05,5.33,0,4.14,0.68,12.85
108-118,0,0,0,20.72,0,8.3,454.43,0.41,2.5,0,31.18,5.92,0,0,4.11,1.15,3.75,2.65,0.73,1.61,52.44,10.36,0,6.11,214,3.94,0,0,0,31,0,0.53,0.6,0,2.11,6.47,0.57,13.41,0,8.83
120,0,0,0,26.6,0,10.89,194.09,0,6.7,0,24.78,17.04,0,5.1,0,1.25,10.08,0,0,4.02,99.5,0,0,6.97,156.39,0,4.22,0,0,18.49,0,0,0,0,16.26,0,0,5.76,0,0
