stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.25,979.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.84,0,0,0,0,0,0,0,0
  5-6,12.67,613.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,6.9,0,73.85,0,0,0,0,0,0,0,0
  7-9,0,7.81,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.73,0,0,0,35.57,0,28.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.4,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.64,0,1.89,0.85,0,0,0,0,0,0.99,0,4.48,0,0,6.63,0,0,0,1.47,1.65,0,4.5,27.58,3.8,0,4.58,5.87,0,32,3.22,1.98,4.57,0,0,0,0,0
 24-34,0,0,7.69,1.62,0,0,0,5.56,0,0.68,0,0.75,0.67,3.92,4.09,0,67.35,0,1.39,1.07,3.88,7.08,0,3.19,32.56,0,0,11.44,0,0,34.77,0,33.98,4.96,0,0,0,0,0
 36-46,0,0,6.38,0,2.17,0,0,19.92,0,0.62,0,1.7,3.8,14.91,2.03,0,42.04,0,10.03,7.45,4.27,4.52,0,0.63,30.45,0,2.43,1.21,0,0,44.77,0,37.73,13.44,0,0,0,0,0
 48-58,0,0,2.42,0,0.51,0,0,19.26,0,0,0.98,4.62,5.4,61.32,4.3,1.47,17.99,0,2.69,3.04,24.62,0.53,0,1.25,57.95,0,2.26,19.2,0,0,27.39,0,23.62,6.88,0,0,0,0,3.26
 60-70,0,0,3.55,0,8.8,0,0,34.61,0,2.67,0,1.2,42.47,40.34,1.77,3.01,7.91,0,4.28,3.19,6.61,3.5,0,0,44.37,0,0.99,8.46,0,0,76.34,0,32.37,2.2,4.65,0,1.49,0,0
 72-82,0,0,28.35,0,6.05,0,0.76,42.9,0,0,0.62,7.27,220.57,6.49,0.53,1.98,12.53,0,14.57,28.71,22.16,0,0,0.54,93.31,2.3,1.39,21.62,0,1.06,60.52,0,33.85,0.86,7.81,0,3.2,1.85,0
 84-94,0,0,31,1.04,6.37,0,0,42.6,0,3.62,0,0.73,281.82,6.08,0,8.28,7.09,0,3.07,19.8,3.27,0,0,0,45.25,0.57,0,14.72,0,0,186.93,0,51.01,1.86,0.6,0,0,0,0
 96-106,0,0,79.08,6.83,17.05,10.18,0,78.91,1.6,0.65,0,10.9,623,1.06,1.93,0,37.13,0,16.38,43.92,25.46,3.99,0.56,0.93,120.02,0,0,31.18,0,0,230,0,38.86,0.67,0.61,0,3.68,0,13.15
108-118,0,0,57.19,7.7,24.46,2.52,0,33.87,0,5.42,0,10.98,576.79,0,1.79,6.25,11.76,1.07,12.28,71.82,36.92,4.57,0.97,1.21,127.73,0.41,8.26,24.64,0,0,260.83,0,50.03,2.45,6.13,0.66,4.68,0,0
120,0,0,20.79,1.59,34.65,5.28,0,17.65,0,5.23,0,18.03,442.57,0,2.11,7.91,17.78,0,6.09,58.13,15.42,3.29,8.06,0,146.37,0,0,40.57,0,0,200.36,0,36.24,1.57,2.9,1.52,2,0,0
