stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,vasculature
  3-4,13.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.46,0,0,0
 10-12,0,0,0,0,3.65,0,0,7.43,18.8,0,0,0
 14-21,0,0,0.88,0,0.82,0,0,1.57,0,0.91,2.57,0
 24-34,0,0,0,0,0.68,0.61,0,1.53,0,0,0,0
 48-58,0,0,0,0,0,1.01,0,3.66,0,0,0,0
 72-82,0,0,0,0,0,0.53,1.02,0.7,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.97
108-118,0,1.19,0,1,0,1.08,0.87,0,0,0,0,0
120,0,4.93,1.3,0,0,0,3.71,0,0,0,0,1.35
