stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,0,1.27,0,3.11,0,0,0,0,0,0,0,3.32,21.28,0,0,1.01,1.25,0,0.84,0,0
 24-34,0,0,1.03,0.6,0.86,0,0,3.29,2.52,0.74,0,3.02,11.48,0,2.11,10,15.69,0,0,1.98,0.91,0.68,5.83,0,1.55
 36-46,0,0,0,0,0,0,0,1.53,0,11.55,0,0,8.46,0,0.81,41.08,29.5,0,0,0,0,0,2.34,0,4.48
 48-58,0,0,0,0,1.15,6.34,0,1.64,0,14.03,0,1.44,13.8,0,4.58,15.16,33.17,0,0,0.79,1.22,0,1.29,0,23.54
 60-70,0,0,4.88,0,4.86,0.79,0,0,0,0,0,1.77,16.96,8.1,0,17.65,8.43,0,0.84,0,2.14,0,5.4,0,23.48
 72-82,0,0,0,0,6.35,1.41,0.66,3.29,0,1.16,0,7.55,24.36,0,0.76,17.58,8.23,0,0,2.14,1.23,0,1.87,0,84.53
 84-94,0,0,1.78,0,5.28,0,2.97,2.44,0,0,0,0.56,28.92,0,0,10.26,9.09,0,0,0,0.73,0,0,0,82.12
 96-106,0,0,0,0,0.74,0,6.62,0,0,0,1.71,0.88,15.08,0,0,26.59,4.92,0,0,0,0,0,0,0,127.61
108-118,0.67,0,5.8,0,13.51,0.97,11.32,0,0.83,0,5.85,11.6,32.97,0,0,15.17,7.73,1.61,0,0,2.99,0,0,0,129.57
120,0,0,3.58,0,0,0,10.81,0,4.21,0,0,8.38,30.97,0,0,54.35,16.17,15.75,0,1.01,8.49,0,0,1.22,231.53
