stage,axial,eye,glial,mesenchyme,neural,periderm
  5-6,8.66,0,0,0,0,28.56
 24-34,0,0,0,0.93,0,0
 48-58,0,0,0,1.17,0,0
 60-70,0,0,0,0.63,0,0
 72-82,0,0,2.92,3.21,0,0
 84-94,0,0,0,6.74,3.52,0
 96-106,0,0.81,1.18,18.2,0,0
108-118,0,0,2.47,11.24,3.22,0
120,0,0,0,15.47,7.01,0
