stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,126.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,225.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0
  7-9,17.07,5.29,0,30.19,0,0,0,8.29,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,246.04,7.31,0,0,138.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,3.1,0,134.74,0,7.85,0,30.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.76,20.93,0,0,159.48,0,0,6.56,0,39.1,0,0,0,0,0,0,0
 14-21,0,0,0,3.32,22.98,19.37,0,7.67,0,0,0,7.7,2.95,0,5.87,0,0,0.87,0,0,0,118.73,0,0,87.33,232.6,4.59,0,4.46,3.52,0,3.32,0,48.08,0.86,0,16.07,106.06,0,16.25,0,0
 24-34,0,0,0,0,20.37,8.86,0,26,0,0,10.92,35.49,0.66,0,17.62,0,0,0.8,0,0,1.58,381.6,0,0.81,153.56,436.3,7.06,0,7.75,0,0,2.5,0,0,1.67,6.66,9.97,143.56,0,161.92,0,1.3
 36-46,0,0,0,0,1.9,1.22,0,23.07,0,4.2,35.89,64.06,0,6.39,30.12,0,0,0.62,0,0,0,705.65,0,16.23,237.35,370.62,0,0,18.21,0,1.01,1.86,0,3.27,0,0,0,126.13,0,95.05,0,0
 48-58,0,0,0,0,5.85,2.7,0,42.73,0,8.11,87.51,106.68,0,0,19.6,0,0,4.69,0,1.98,0,765.93,0,22.09,122.44,292,0,0,1.62,0,4.13,0,0,0,0,0,0,78.92,3.74,79.56,0.72,5.3
 60-70,0,0,0,0,5.78,5,0,27.57,0,4.22,132,222.85,0,0,7.25,4.91,0,0,0,1.2,1.94,1184.42,0,42.25,121.03,222.12,0,0,8.38,0,37.55,0,0,0,0,1.29,0,48.99,24.4,50.41,11.43,4.43
 72-82,0,0,0.87,0,21.53,3.36,0,76.72,0,0.61,135.43,498.56,0,0,30.34,1.39,0,0,1.64,0.57,0,1720.62,0.51,80.64,130.57,280.88,0,0,7.5,0,39.66,0,0,0,0,0,0,47.26,47.04,115.17,38.94,0
 84-94,0,0,0,0,11.35,0.55,0,98.43,0,1.88,73.2,275.48,0,0,19.34,1.38,1.12,5.82,2.57,0,0,1272.03,0,66.29,91.09,194.75,0,0.56,7.38,0,10.5,5.09,0,0,6.97,0,0,60.49,28.19,73.06,44.54,0
 96-106,0,0,0,0,22.73,12.65,0.98,77.73,0.9,5.47,108.74,525.97,0,0,38.42,1.28,0,1.97,0.58,3.08,0.67,1769.06,0,87.99,117.58,364.34,1.87,4.63,17.41,0,69.57,8.59,0,0,0,0,0,16.65,42.3,114.27,48.58,1.38
108-118,0,0,0,0,36.05,4.21,0,70.04,3.23,3.18,132.18,498.58,1.32,0,17.47,2.19,1.11,3.32,0,0.45,2.18,2382.23,0,125.02,108.16,296.45,1.06,0,25.99,0,98.35,13.77,0,0,0.42,0,0,35.29,62.25,94.57,30.18,4.4
120,0,0,0,0,39.4,1.14,0,84.71,0,3.52,77.82,754.01,0,0,16.91,14.73,0,10.67,5.38,17.89,0,1965.95,0,241.53,64.5,425.72,1.12,0,27.18,0,76.17,0,0,0,0,0,0,15.6,116.76,49.35,33.46,2.08
