stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.13,409.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.7,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99,0,0,0,16.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,4.42,0,0,19.51,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.66,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,1.87,32.24,0,0,0,0,0,0,1.39,0,0,6.28,11.63,0,0,0,0,0
 24-34,0,0,0,2.1,0,7.58,0,0,0.68,1.99,0,0,7.23,0,0,0,0,5.88,0,0,7.86,100.51,0,1.03,1.28,0,0,1.68,0,0,0.63,0.69,29.69,0,0,1.64,0,0.63
 36-46,0,0,0,0.61,0,26.04,0,0,0.64,2.07,0,0,0.98,0,0,0,0,14.35,0,0,4.48,147.99,0.61,3.4,0,0,0,0,0,0,0,0,31.09,0,0,0.83,0,1.59
 48-58,0,0,0,0,0,27.01,0.6,0,0,10.12,0.39,0,0,0,0,0,0.78,8.98,0,0,0,123.77,0.38,1.9,3.51,0,0,0,0,0,0,0,30.87,0,1.28,0,0,3.42
 60-70,0,0,0,0,1.43,47.3,0,0,0,5.3,0,0,0,0,0,0,0,19.07,0,0,0.75,101.84,0,3.69,5.98,0,0,2.88,0,0,0,0,21.32,0,0.59,0.58,0,0
 72-82,0,0,0,2,12.7,70.32,0,0,1.86,8.72,1.68,0,0.59,0,0,0,0,18.58,1.05,0,0.6,116.53,0,3.11,1.59,0,0,0.59,0,0,0,0,21.76,0,0,2.62,0,4.1
 84-94,0,0,0,0.62,33,46.95,0,0,0,10.1,0,0,1.28,1.86,0,0,0.56,18.98,0,0,2.2,164.17,0.94,4.09,1.54,0,0,6.11,0,0.66,0,0,32.47,0,0,0.93,0,2.23
 96-106,0,0,1.53,2.97,18.38,80.74,0,0,0,32.63,1.39,0,1.27,0,0,0.65,0.67,23.04,0,0.69,1.91,152.91,0.62,4.55,2.98,0,0.87,14.47,0,0,0,0,21.47,0,0,3.64,0,0.77
108-118,0,0,0,4.84,4.28,89.11,0,3.05,0,19.71,0,2.18,0,0,2.26,0,0,22.89,0,0,2.58,203.72,4.26,0,4.54,0,0,14.36,0,0,1.66,0,12.03,0.89,0,3.19,1.27,3.54
120,0,0,0,3.42,30.6,55.64,0,2.75,0,26.17,0,0,8.41,0,0,0,0,19.67,0,4.76,2.44,236.59,0,3.76,5,0,0,2.65,0,1.56,2.07,0,0,0,0,16.56,1.8,0
