stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,448.09,982.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.08,0,0,0,0,0,0,0,0,0
  5-6,235.89,478.71,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,13.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,0,3.4,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,0,30.03,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,178.64,534.05,69.64,0,0,3.53,0,0,0,0,0,0,0
 14-21,1.77,0,0,36.08,7.25,3.71,0,0,0,0,1.04,1.08,0,0,0,0,0,0.85,0,0,0,36.13,411.73,145.18,21.46,19.77,0,13.25,9.39,16.02,0,1.5,0,0
 24-34,0,0,0,31.48,0,10.8,0,2.01,0,0,0,0,0,0,0,0,0,1.02,1.03,0,3.01,69.85,34.89,0,0,3.08,0,8.02,18.14,3.93,0,1.46,0,0
 36-46,0,0,0,21.6,0,7.27,14.33,2.64,11.82,0,0,0,0,0,0,0,0,2.3,0.65,0,5.53,61.78,4.78,0,0,0.9,0,19.17,0.83,9.26,0,4.58,0,0
 48-58,0,0,0,4.67,0,4,7.28,16.03,14.67,1.73,0,0.49,0.58,0,0,0,0,0.42,0,0,1.44,55.73,3.05,0,0.46,0,0,10.3,0,3.25,0,4.45,0,0.56
 60-70,0,0,0,20.8,0,25.85,10.63,6.64,18.84,0,0.75,0,0,0,0,0,0,5.64,0,0,4.09,49.47,0,0,0,0,0,9.38,0,19.65,0,1.46,0,0
 72-82,0,0,0,7.04,0,7.15,0.55,11.91,12.2,4.35,0,0,0,0,0,0.92,0,2.07,0,0,0,17.64,0,0,0,0,0,7.46,0,5.56,6.55,38.16,0,0
 84-94,0,0,0,19.77,0,14.63,11.85,16.48,3.92,5.3,0.96,0,0,0.82,1.83,0,0,2.75,0,2.79,6.81,6.85,0,0,5.19,0,0,2.88,0,1.31,13.51,20.64,0,0
 96-106,0,0,0,14.6,14.05,13.76,2.27,7.63,0.81,39.72,0,0,0,0,0.56,0,0,4.5,0,0,4.65,44.66,0,0,0,0,0,7.85,0,9.34,14.91,17.53,0.86,0
108-118,0,0,0,12.83,0,17.26,8.04,10.32,7.26,6.77,0,0,0,0,1.89,0,0,4.66,0,0,0.65,31.93,0,0,0,0,0,9.12,0,3.48,15.29,31.41,0,0
120,0,0,0,6.53,0,0,9.63,13.25,0,3.43,0,0,0,0,0,0,0,0,0,0,0,26.89,0,0,0,0,0,0,0,1.34,12.39,36.69,0,0
