stage,eye,immune,muscle,neural
 24-34,0.72,0,0,0
 36-46,0,0,0,9.08
 48-58,0.73,0,0,1.79
 60-70,2.35,0,5.09,0.97
 72-82,0,0,0,6.21
 84-94,3.63,0,0,0
108-118,0.73,0.66,0,0
120,0,0,0,4.56
