stage,blastomeres,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.84,0,6.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0.9,0,4.05,0,0,0,0,2.95,0.9,1.1,0
 24-34,0,0,0,0,0,0,0,0.93,0.67,10.4,0,0,1.26,1.45,2.48,0,0,0
 36-46,0,0,0,0,0,0,0,0.57,0,4.66,0,0,0,0,1.56,0,0,0
 48-58,0,1.95,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.72,0,0.82,0,0,0.65,0,1.25,0,0,0
 72-82,0,0,0,0,0,0,1.05,0,0,5.05,0,0,0,0,0,0,0,0
 84-94,0,4.77,0.74,2.62,0.67,0,0,0,0,1.7,0.56,0,0,0,0,0,0,2.72
 96-106,0,1.68,0,0,0,1.69,0,2.66,0,1.52,0,0,0,0,0,0,0,0
108-118,0,0,0,2.04,0,0,0,0.63,0,1.95,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.94,0,13.21,0,0,0,0,0,0,0,0
