stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,54.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,103.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.53,3.53,0,0,26.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.18,0,0,0,0,17.66,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,133.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0.81,0,0,2.78,0,0,1.53,0,0,0,0,0,0,0,0,1.68,0,0,2.35,93.98,6.95,0,0,0,0,0,0,0,0,37.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,8.4,0,0.74,0,0.96,4.49,0,0.63,0,0,0,0,7.52,0,0,0,520.32,0,15.78,0,0,0,0.85,0,0,0,107.23,0,0,0.64,0,0
 36-46,0,0,0.98,0.58,0,0,19.16,0,0,1.28,0,0,0,0,0,0,0,0,5.37,0,0,2.05,1011.09,0,11.38,0,0,0,0.78,0,0,0,186.92,0,0,0,0,2.2
 48-58,0,0,0,1.41,0,0,104.74,0,0,16.38,0,0,0,0,0,0,0.39,2.55,11.52,0,0,0.39,1444.86,0,1.14,0.74,0,0,4.67,0,0.56,0,219.76,0,0,0.74,0,2.63
 60-70,0,0,4.68,4.6,0,0,272.01,0.99,0.75,32.78,0,0,0,0,0,0,0,0,21.95,0,1.7,1.78,2061.46,0,6.43,0,0,2.16,8.41,0,0,0,261.55,0,0,10.66,0,5.13
 72-82,0,0,0,6.52,7.16,0,213.85,0,0,33.37,0,0,2.36,0,0,0.95,0,0,21.81,0.59,1.12,1.27,1753.69,0,4.98,0,0,0,0.73,0,0,0,183.61,0,0,4.61,0.58,0
 84-94,0,0,1.79,10.69,0,0,194.69,0.91,3.17,18.01,0,1.3,0.65,0,0,0,0,0,27.92,0,0.99,1.16,1172.48,0,5.28,0,0,0,5.74,0,0,0,91.58,0,0,0,0,0
 96-106,0,0,0.91,1.21,17.15,0,169.74,0,2.03,27.54,0,0,0,0,0.75,0.75,0,0,37.22,0,0,2.75,968.49,0,8.19,0,0,0,5.31,2.06,0,0,30.98,0,0.88,0.78,0,0
108-118,0,0,0,3.22,1.79,1.65,134.77,0,2.03,42.98,0.53,0,0,1.01,7.82,0.49,0,0,38.03,0,0,5.91,1277.66,0,1.44,0,0,0,5.29,0,0,0.5,56.81,0.89,0,0,0.66,0
120,0,0,0,14.49,1.56,0,160.44,0,0,42.73,0,0,4.68,0,0,0,0,0,30.17,0,0,0,2224.56,0,11.16,0,0,0,1.47,0,0,0,31,0,0,1.15,0,0
