stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,olfactory,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,8.3,0,0,0,0
 14-21,0,0,0.81,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.27,0,0.74,0,0
 36-46,0,0,0,1.37,0,0,0,0,17.54,1.67,1.26,0,0
 48-58,0,0,0,6.96,1.36,0,0,0,40.39,0.84,6.26,0,0
 60-70,0,0,0,13.97,0,0,0,0.72,40.48,1.12,1.2,0.84,0
 72-82,0,0,0,21.64,0,0,0,1.28,46.91,0,0,0,0
 84-94,0,0,0,4.34,0,0,0,0,13.14,0.8,0,0,0
 96-106,0.95,0.91,0,7.58,0,0,0,4.53,12.76,0,0,0,0
108-118,0,0,0,5.17,0,0,0,0,19.72,0.98,0,0,0.44
120,0,0,0,14.61,0,9.21,0,0,48.46,0,0,0,0
