stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,6.64,1.1,3.67,0,0,0,1.85,0,0,0,0,0,0,0,0,0,6.93,0,0,2.46,40.23,0,0,0,2.42,0,3.02,0.91,0,4.46,9.55,0,0,2.05,0,0
 24-34,0,0,0,5.38,0,15.27,8.25,0,0,2.07,0,0,0,0,1.36,0.7,0.78,0,0,26.47,0.61,0,4.67,148.49,0.62,0.72,1.39,0,0,6.07,0,0,3.49,24.95,0,0,5.19,0,0
 36-46,0,0,0,5.9,0,28.69,24.22,0,0.64,6.83,0,0,0,0,0,0,0.7,0,0,22.97,0,0.63,5.15,249.31,0,2.25,0,0,0,11.55,0,4.31,0,45.12,0,0,6.67,0,2.01
 48-58,0,0,0,11.8,0,51.8,17.82,4.12,0.5,13.11,0,0,0,0,0,0,0,0,0,18.37,0.59,0.55,11.34,193.09,0,1.97,1.15,0,0,10.69,0,0,0,28.36,0,0.64,0,0,0.54
 60-70,0,0,0,0.59,1.92,98.69,14.19,0,1.03,23.2,0,2,0,0,0,0.63,0,0,1.56,12.47,0,0,10.29,239.57,0.66,2.17,0,0,0,9.25,0,1.91,0,38.97,0,0,0.83,0.87,0
 72-82,0,0,0,5.39,6.96,101.62,10.11,0.5,0.62,16.51,0,0,0.6,0,0,0,0.75,0,0,61.17,2.55,2.15,9.76,170.94,0,0,4.11,0,1.31,13.56,0,0,0,15.97,0,0.99,6.92,2.55,0
 84-94,0,0,0,11.81,2.02,98.85,18.28,1.39,0.8,21.19,0,0,1,0,0,1.97,1.82,0,0,53.44,0,1.6,6.83,149.63,0,6.35,2.04,0,0,14.84,0,2.88,0,18.17,0.81,0,5.66,0.68,8
 96-106,0,0,0,35,2.92,77.57,37.02,3.2,0,7.5,2.25,0,0,2.04,0,1.14,0,0.76,0,26.07,0,1.95,20.06,49.37,0.57,3.08,3.11,0,0,29.21,0,3.01,0,2.14,0,3.33,7.19,5.73,0.9
108-118,0,1.15,0,23.18,6.3,64.97,41.91,0,0.65,6.06,2.08,0,3.09,0,1.47,0,0.49,2.19,0,40.37,0,1.3,13.49,133.54,0,2.88,3.92,0,0,6.48,0,3.05,0,0,2.12,0,4.19,3.86,1.25
120,0,0,0,42.03,1.75,99.83,25.12,5.82,4.39,32.13,1.65,0,0,8.59,2.1,0,1.84,0,3.89,73.23,4.65,2.13,9.57,306.2,0,1.48,1.43,0,9.62,11.32,0,0,0,0,0,0,4.75,0,0
