stage,blastomeres,epidermis,eye,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,24.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.37,0,0,0,0,0,0,0,3.23,0,0,0,0,0
 14-21,0,0,0,0,1.66,0,0,0,0,0,1.49,0,0,0,0,0
 24-34,0,0,0,1,8.05,0,0,0,0,0,11.69,0,0,0,0,0
 36-46,0,0,0,0,15.65,0,0,0,0,0,1.71,0,0,0,0,0
 48-58,0,0,0,0,18.14,0,0,0,0,0.71,1.48,0.78,0,0,0,0
 60-70,0,0,0,0,26.83,0,0,0,0,0,1.57,0.86,0,0,0,0
 72-82,0,2.21,14.92,0,27.08,0,0,1.97,1.34,0,5.79,1.4,0,0.63,0,0
 84-94,0,0,0,0,40.14,0,0,8.11,2.76,0,1.57,2.11,0,0,0,0
 96-106,0,1.98,1.58,0,70.4,0.81,0.6,4.05,2.8,0,1.36,1.41,12.14,4.51,1.64,2.33
108-118,0,0,0,0,55.22,0,0,4.03,1.47,0.72,5.31,1.52,0,2.42,0,0
120,0,0,0,0,80.49,0,0,0,0,0,3.45,0,0,0,0,0
