stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm
  5-6,59.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.58,9.76
 10-12,0,11.32,0,0,0,0,5.85,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.6,0,0,0.74,0
 36-46,0,0,0,0.85,0,0,0,0,0,0,1.51,0
 48-58,0,0,0,0,0,0,0,3.8,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,8.59,0,0,0,0
 72-82,0,0,0,0,0,0,0,21.73,0,0.59,0,0
 84-94,0,0,0,1.18,0,1.36,0,32.23,0,0,0,0
 96-106,0,0,0.69,0,1.78,0,0,21.7,0,0,0,0
108-118,0,0,0,0,0,0,0,27.87,0,0,2.69,0
120,0,0,0,0,0,0,0,45.89,1.05,0,0,0
