stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,47.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,11.99,0,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
 48-58,0,0,0.38,0,0,4.17,0,1.69,0,0,0,3.95,0,4.51,0,0,0,0,0,8.38
 60-70,0,0,1,0,0,0,0,0.56,0,0,0,0,0,16.13,0,0,0,0,0,2.17
 72-82,0,0,2.43,0,0,0,0,0.63,0,0,0,17,0,11.26,0,0,1.1,0,0,77.29
 84-94,0,0,0,0,0,0.56,0,0.58,0,2.1,0,17.95,0,18.17,0,1.96,0,0,0,36.2
 96-106,0,0,0,0,0,0,0.75,2.15,0,1.58,1.5,39.62,0,21.8,0,2.72,0,2.75,0,45.03
108-118,0,1.22,0,0.59,1.01,0,0,3.8,0,0,0.72,18.66,1.3,20.19,0,0,0,0.89,0.82,101.65
120,0,0,0,0,0,6.54,0,4.83,9.22,0,0,46.2,0,24.07,0,0,0,7.97,0,37.22
