stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,80.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.14,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,19.79,0,4.05,25.04,0,13.09,2.83,0,0,0,0,0,0,0,58.8,0,0
 36-46,0,0,0,0,0,0,0.71,0,0,0,0,0,2.45,0,0,0,0,0,0,57.98,0,24.52,78.58,0,6.76,7.78,0,0,0,0,3.77,0,0,46.68,2.33,1.52
 48-58,0.78,0,0,0,0,0,14.04,0,0,2.87,8.35,0,10.52,0,0,1.14,0,0,2.93,206.82,6.15,148.7,124.75,0,5.75,11.4,0,0,0,0.37,2.29,0,5.11,43.34,0,0
 60-70,0,0,0,9.81,0,0,15.97,0,0,0.91,12.27,0,22.51,0,0,0,0,0,0,316.49,9.38,184.9,171.98,0,0,13.92,0,46.06,0,0,2.65,0,10.37,8.54,0,0
 72-82,0,0,1,10.28,0,0,30.78,1.95,0,7.22,100.98,0,50.54,1.89,0,0,0,0,0,652.12,24.13,266.91,145.32,0,0.67,28,0,49.36,1.75,0,1.57,1.36,26.57,25.84,5.45,0
 84-94,0,0,0,5.9,0,0,41.47,0,0.58,1.74,137.38,0,69.5,0,0,2.25,1.05,0,0,473.26,56.54,343.35,282.26,0,0,28.26,0,29.07,4.18,0,4.2,0,31.49,22.54,3.18,0
 96-106,0,0,0,13.54,0,0,23.84,0,0.59,1.02,269.3,0,25.19,2.06,1.14,0,0,0,0,474.2,25.74,283.01,274.8,0.98,3.15,45.81,0,29.65,1.29,0,0,0,26.03,20.31,6.13,0
108-118,0,0,0,16.77,2.94,0,29.3,0,0,4.2,294.83,0.74,36.83,2.26,0.77,0,1.02,1.34,0,487.23,47.94,389.97,304.02,0,0.55,19.8,0,141.9,6.23,0.85,0,0,22.68,26.23,0,0
120,0,0,3.29,4.96,0,1.06,26.55,0,2.41,6.71,148.05,0,31.77,10.16,0,0,0,2.58,0,449.65,3.53,522.15,301.57,0,0,55.81,0,180.18,30.55,0,0,0,35.24,53.04,0,0
