stage,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  3-4,229.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,123.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.04,0,0,0,3.26,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,1.12,0,0,0,0,3.82,1.42,0,0
 24-34,0,2.13,0,0,0,1.04,0,3.27,1.18,0,0,0,0,0,0,0
 36-46,0,0.9,0,0,0,0,0,4.75,0,0,0,0,2.52,2.14,0,0
 48-58,0,6.87,4.2,0,0,0,0,10.83,0,0.89,0,0,2.54,0.38,0,1.34
 60-70,0,0.67,14.01,0,0,4.83,0,12.86,0,0,0,0,5.21,3.53,0,0
 72-82,0,0.98,3.97,0,0,2.6,0,13.55,0,0,0,0,0,0,0,0
 84-94,0,0,7.94,0,0.76,0,0,5.52,0,0,0,0,1.15,0,4.72,0
 96-106,0,1.33,0.62,0,0,1.53,0,8,0,0,0,0,0.95,0,0,0.8
108-118,0,5.22,10,1.55,0,3.02,0.54,3.37,0,0.55,1.15,0,4.37,0,0,5.4
120,0,0,0,0,0,5.19,0,16.22,0,0,0,0,0,0,0,0
