stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.74,0,0,0,4.75,0,0,0,0,0,0,0,0
 14-21,7.78,0.87,1.99,0,0,0,1.21,0,0,0,0,0,3.69,0.81,0,0,0,0,0,2.75,2.38,0.85,16.14,0,0
 24-34,1.51,0,0,0,0,7.28,0,0,0,0,0,0,33.1,0,0,0.78,0,0,0,0,1.4,0,13.79,0,0
 36-46,2.3,0,4.54,0,0,3.93,0,0,0,0,0,0,64.74,0.88,0,0,0,0,0,0,0,0,11.84,0,0
 48-58,1.51,0.4,15.92,0,1.4,1.42,0,0,0,0.68,0,0,12.2,0,0,1.96,0,0,0,0,0.4,0,4.07,0,0
 60-70,5.71,0,39.58,0,1.18,0,3.1,0.77,0,4.06,0,0,41.42,0,1.15,7.28,0,0,0,0,3.74,0,2.63,5.3,0
 72-82,3.92,0,30.96,0,0,8.93,4.28,0,0,2.29,0,2.2,70.46,0,0,4.65,0,1.31,0,0,0,0,0,1.63,0.61
 84-94,6.85,1.2,22.35,2.24,0,0.64,2.82,0,0,0,0,0,46.12,0,1.66,2.99,0,0.77,2.83,0,0,0,0.69,4.5,1.77
 96-106,8.36,0,43.79,0,0,3.99,9.23,0,6.53,3.38,0,7.41,76.89,0,0,7.53,0,1.6,1.46,0,0.88,0,1.95,1.27,0.85
108-118,7.57,3.88,29.17,3.49,0,1.72,16.83,0,2.8,0,0.94,0,30.83,0,0,4.36,0,7.69,6.86,0,0.42,0,2.01,1.51,0.62
120,17.25,0,46.72,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,8.19,33.29
