stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,133.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,7.84,0,0,0,0,0,0,0,4.63,0,0,0,0,19.24,0,0,15.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,10.72,0,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0
 24-34,0,0,0,1.42,0,1.12,0.7,0,0,0,0,0,0,0,0,15.28,1.52,0,0,0.78,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,82.89,0,0,0,0,6.11,0
 48-58,0,0,0,0.41,0,3.35,0,0,0.57,2.39,0,0,0,0,0,181.66,0,0.66,0,0,3.28,0
 60-70,0,0,0,2.5,0,37.65,0,0,1.51,0,0,0,0,0,2.07,348.96,0,0,0,0,17.33,0
 72-82,0,0,0,0,2.12,114.5,0,0,1.79,0,0,0.9,1.79,0,0.71,396.16,0,0,0,0,27.49,4.06
 84-94,0,0,0,0.6,0,56.12,0,0,2.76,0,0,0,0,0.96,0,399.1,0,0.72,0,0,8.62,0
 96-106,0,0,0,4.06,0,108.9,0,10.48,6.58,0,0,4.47,3.93,1.14,0,413.95,0,0.59,0,3.19,20.01,0
108-118,0,0,0.74,2.34,0,34.51,1.05,0,1.06,0,0,0,0,1.8,0,247.15,0.67,0,0,0,6.54,0
120,0,0,0,4.32,0,87.16,0,0,0,0,0,0,0,2.28,0,325.58,0,0,0,4.9,18.44,0
