stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.04,4.23,0,0,36.19,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,392.51,0,4.36,0,0,0,0,1.08,0,0,0,0,0,0,0,5.95,3.71,0,0,0,101.94,0.93,0,0,3.48,0,0,0.84,0,2.23,33.67,0,0,0,0,6.52
 24-34,4.44,5.39,0,14.53,0,0,0,7.05,0,0,2.62,0,0,1.57,0.98,1.3,0.7,8.59,0,0,3.32,2298.62,0,2.85,0,0,0,0,0.73,0,0,49.24,0,0,0,0,10.69
 36-46,0,38.81,0,29.44,0,0,0.65,40.16,0,0,0,0,0,0,0,0,5.18,19.27,0,0,1.55,4337.05,1.56,5.19,0,0,0,0,0,0,0,50.22,0,0,0.88,0,8.47
 48-58,1.42,7.68,0,274.92,0,0,0.89,30.49,0,0.93,0,0,0,0,1.46,1.73,1.63,36.34,0.49,1.25,11.49,5243.48,0,1.31,6.78,0,0,1.77,0,0.41,0,114.89,0,0,1.07,0,32.12
 60-70,0.89,10.02,4.83,552.59,0,0,3.58,33.99,0,0,0.78,0,0,0,0,0,0,56.89,0,0,4.52,5163.81,0,1.29,0,0,0,5.79,0,1.84,0,180.85,0,0,0.73,0.87,0
 72-82,2.64,14.54,6.37,743.1,0,0.55,8.07,122.09,1.73,0,0,13.5,0.61,0,4.99,0,3.49,179.66,0.59,1.73,2.07,7551.88,1.39,8.04,3.89,0,3.04,4.27,0,0.58,0,187.82,4.19,2.21,7.46,1.28,20.56
 84-94,0,28.59,0.83,558.09,1.02,2.19,0.65,109.55,0.64,0,0,2.09,0,0.67,0,0,10.93,130.64,2.13,1.83,2.98,4629.92,0,1.79,1.27,0,0,6.23,2.63,0,0,121.82,0,1.37,10.41,0,15.75
 96-106,0.61,29.35,27.91,483.51,2.4,5.87,1.09,88.94,2.54,0,1.16,1.38,0,12.78,0.58,9.04,0,135.97,0,3.67,7.73,4043.67,1.44,0,2.36,0,1.45,6.04,0,0,0,13.31,5.04,0,7.28,0,19.61
108-118,2.52,34.52,6.16,448.61,0.78,0,2.71,98.42,2.01,0,2.22,0.71,0,2.02,0,1.29,7.93,141.6,0,1.96,2.84,6818.18,0,2.27,1.95,0,0,3.37,0,0,0,32.57,0,2.3,2.56,2.55,0
120,0,28.19,2.62,400.85,0,0,0,125.94,0,0,0,0,0,0,0,15.79,0,191.26,2.98,9.16,5.73,9160.68,16.22,0,0,0,0,0,0,0,0,42.66,1.37,0,0,0,0
