stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,3.59,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.69,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.59,4.71,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,2.44,37.53,0,0,0,1.37,0,1.22,3,0,3.72,9.32,13.7,0,0,1.23,0,0
 24-34,0,0,0,0,2.12,0,0,4.57,0.84,0,0,2.81,0,0,0,0,0,0.96,7.54,0,10.38,0,1.77,9.57,77.63,1.41,0.75,0,0,0,4.03,0,1.45,3.47,0.72,25.14,0,0,14.24,0,0
 36-46,0,0,0,0,10.47,0,0,9.89,6.52,6.76,1.38,8.59,0,1.51,0,0,0,0,0,1.49,11.82,0,0,2.82,109.59,5.38,0,0,0,0,4.64,0,0,4.7,0.6,26.99,0,0,0,0,5.09
 48-58,0,0,0.42,0,3.86,2.93,0,55.71,1.14,5.87,0.88,2.37,0,0.77,0.37,0,0,0,2.95,0,12.11,0,5.54,6.62,186.49,0,0.63,0,0,0,2.42,0,0,8.06,0,40.59,0,0,7.73,0,0
 60-70,0,0,0,0,16.65,0,0,556.14,2.27,0,0,15.72,1.57,0.61,4.72,10.22,0.79,0,0,0,43.8,0.84,0,4.13,229.01,2.27,0.73,0,0,0,3.92,0,0,7.29,0,59.62,0,0.99,12.31,0,1.29
 72-82,0,0,0,0,3.15,0,0,1247.6,16.24,3.52,2.74,56.8,1.41,0,0,0,1.62,1.33,0,0,45.05,0,1.81,5.69,508.5,6.32,3.63,1.51,0,0.71,0.59,0,3.04,3.27,0,68.42,0,0.91,15.28,0.76,3.15
 84-94,0,0,0,0,29.25,0,0,1121.68,0.7,2.36,0,63.92,0,0,0,0,7.78,0.59,0,0,63.75,3.74,0,7.71,334.42,1.77,1.81,0,0,0.57,14.84,0,0,1.77,0,61.72,0,0,8.56,3.16,4.27
 96-106,0,0,0,0,15.51,10.16,2.1,1881.72,13.35,6.68,1.08,125.92,3.63,2.78,0.56,0,7.68,0.72,17.86,0,65.91,5.22,3.57,2.59,396.88,3.95,15.52,0.57,0,2.54,12.26,0,3.02,8.56,0,8.89,1.13,0,10.24,7.49,14.58
108-118,3.02,0,0.57,0,34.05,2.42,1.65,1913.56,4.99,3.46,2.63,110.82,2.98,0,1.23,0.75,24,0.97,2.34,0,105.08,3.35,11.24,4.49,469.2,10.78,4.36,10.08,0,5.53,8.36,0,0.54,10.02,0,33.6,0.68,0,16.07,3.33,9.6
120,0,0,0,0,87.53,1.21,3.13,2380.14,18.1,15.41,15.21,414.69,2.59,4.26,28.24,0,0,0,5,0,138.31,0,21.56,7.88,1104.42,53.2,7.13,1.76,0,0,14.55,0,0,4.47,0,41.87,0,11.26,20.89,0,0
