stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,8.18,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,5.08,0,0,0,0,0,3.92,1.86,1.88,2.84,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.88,0.86,0,0,0,0,0,0,0,44.29,0,0,0,0
 36-46,0,0.61,0,0,2.7,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0.86,151.43,0,0,0,0,0.66,0,1.04,0,54.4,0,0,0,0
 48-58,0,1.85,0,0,17.54,0,0,4.09,0,0,0,0,0.89,0,0,0,2.64,0,0,366.37,0,0.93,0,0,6.61,0,0,0,56.63,0,0,0,10.17
 60-70,0,1.05,0,0,318.41,4.61,0,0.58,0,0,0,0,0,0,0,0,3.55,0.7,1.89,434.5,0,0,0,0,0,0,0,0,64.02,0,0,0,0
 72-82,0,9.24,0,0,1513.48,0,0,9.52,0,1.7,0,0.54,1.13,0,0,0,13.89,6.78,0,976.64,0,0,0,0,0,0,0,0,90.04,0,0,1.24,9.47
 84-94,0,0.6,0,0,820.31,0,0.57,17.63,0.98,0,0.67,1.56,0,0,0,0,9.17,0,0,671.7,0,0,1.41,0,1.48,0,0,0,76.25,0,1.18,0,0
 96-106,0,6.46,0,2.1,1323.81,0,0,19.93,0.85,0,2.88,0,0,1.7,0,0,8.21,0,0.97,737.39,0,2.07,1.43,0,5.59,0,0,0,41.1,4.97,3.76,0,0
108-118,0,17.68,5.99,0,1054.14,1.12,0.48,27.99,0,0,3.98,0,0,0,1.52,1.75,13.67,0,2.15,796.77,0,4.8,0.78,0,5.51,0,0,0,37.66,0.71,0,0.49,0
120,0,1.89,0,0,815.31,4.62,0,68.87,0,0,5.34,0,4.85,3.95,0,0,38.06,0,7.12,1629.11,5.26,10.21,0,0,3.73,0,0,0,93.06,0,0,0,0
