stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,3.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.08,0,0,27.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.6,0,0,0,24.08,0,0,3.81,0,0,0,0,0,0
 14-21,0,30.45,0.86,3.33,0,0,0,5.92,0,0,0,0,0,0,0,0,1.32,0,0,0.95,209.35,0,5.01,0,0,1.39,0,0,52.78,0,0,1.09,0,0
 24-34,0,60.38,0.68,4.95,0,1.66,0,1.78,1.88,0,0,0,0.62,7.07,0,0,7.43,0.69,0,8.43,556.24,0,43.32,0.97,0,5.11,0,0,113.53,0,0,0.82,0,0
 36-46,0,55.47,0,14.61,0,1.94,1.45,24.66,0,0,0,2.68,0,3.09,0,0,14.55,0,0,3.24,907.66,0,72.56,2.17,0,21.91,0,0,113.36,0,0,3.52,0,0
 48-58,0,22.99,0,183.11,0.57,7.37,3.6,41.06,0,5.1,0,0,2.86,4.06,0,0.56,10.66,0,1.2,0,1106.62,0,38.68,4.85,0,17.26,0,0,138.44,0,0,6.23,0,1.08
 60-70,0,11.53,0,596.78,0,12.23,8.39,76.68,0.62,0,0,0,0,4.6,2.12,0,19.84,1.02,3.23,1.08,1535.1,0,48.8,0,0,15.76,0,0,166.27,0,1.78,4.06,0,13.76
 72-82,0,27.83,0.68,612.88,0,3.97,4.86,212.75,0.56,0,0,0,0,6.48,0,0,33.69,2.36,13.54,1.48,1692.62,0,59.83,3.88,0,0.9,0,0,152.16,0.87,6.25,10.3,0,0
 84-94,0,46.76,0,527.3,0,6.03,2.12,170.87,0,0,0,0.64,0,12.07,0,0,34.51,0,23.85,3.58,1203.81,2.33,70.13,7.77,0,8.67,0,0,131.14,0,3.44,5.61,1.33,0
 96-106,0,25.46,0,354.6,0.59,2.63,0,363.53,0.63,0,0,2.01,0,21.68,8.31,0,18.04,0,18.31,0,1150.14,0,67.63,9.55,0,1.08,0,0,65.66,0,0,8.43,3.01,0
108-118,0,56.74,8.66,320.03,0,17.62,4.21,306.57,0.73,0,0,0,0,4.82,0.81,0,16.81,1.27,30.17,1.37,1128.1,0,48.15,4.17,0,1.97,0,1.91,68.72,0,3.58,3.29,0,0
120,0,55.27,6.35,440.37,0,16.73,4.53,639.7,9.62,0,1.85,0,0,12.29,0,0,71.64,0,68.38,0,2212.55,0,124.79,15.66,0,4.55,2.5,0,73.57,0,0,8.4,0,0
