stage,endocrine_pancreas,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord
  7-9,0,0,5.76,0,0,0,0,0,6.67,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.39,0
 14-21,0,0,0,0,0,0,0,1.11,0,0,0,1.03
 24-34,0,0.63,0,0.63,0,0,0,0,1.92,0,0,0
 36-46,0,0,0.74,0,0,1.17,0,0,2.37,0,0,0
 48-58,0,0,0,0,0,0,1.34,0,0.8,0.88,0,0
 60-70,0,0.93,0,1.64,0,0,0,0,0.63,0,0,0
 72-82,0,0,0.67,0,0,0,2.13,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,4.74,0,0,0
 96-106,0.83,0,0,0,0,0,0,0,2.12,0,0,0
108-118,0,0.65,0,1.12,0.82,0,0,3.77,1.5,0,0,0
120,0,0,0,0,5.71,0,0,0,0,0,0,0
