stage,axial,blastomeres,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,87.34,1906.18,0,0,0,0,0,0,0,0,0,0,22.86,0,0
  5-6,71.89,2298.53,0,0,0,12.54,0,0,0,20.67,0,0,17.1,0,0
  7-9,8.07,0,0,14.19,0,0,0,0,0,180.8,4.22,21.38,0,0,0
 10-12,0,0,0,10.85,0,0,0,0,0,41.71,5.18,13.76,0,0,0
 14-21,0,0,1.05,0,0,0,4.33,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51
 48-58,0,0,0,0,0,0,0,0.41,0,1.92,0,0,0,1.66,0
 72-82,0,0,0,0,1.11,0,0,0,0,6.02,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0
