stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,45.79,1646.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.55,0,0,0,0,0,0
  5-6,7.08,220.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0
  7-9,5.34,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.73,8.51,0,0,35.27,0,0,0,0,0,0,0
 10-12,0,0,0,10.24,0,0,0,9.54,0,0,0,0,15.47,0,0,0,0,0,0,0,0,0,67.2,0,0,0,33.11,4.24,0,0,0,0,0,0
 14-21,0,0,0,1.3,24.02,0,0,0.96,0,0,1.32,0,0,0,0,2.11,0,0,0,1.02,0,0,31.24,2.21,0,3.02,2.71,6.84,3.56,0,0,0.87,11.12,0
 24-34,0,0,0.8,0.81,0.71,1,0,12.29,0,0,1.2,0,0,0,0.6,3.16,0,0.64,0,5.95,0,0,103.67,0,2.92,0.69,0,0.7,0,3.98,1.7,0,15.63,0
 36-46,0,0,0,0,2.18,0,0,18.56,0,0,2,0,0,0,0,0,0,0,0,0.69,0,0,104.98,0,4.92,2.59,0,9.95,0,0.67,0,0,15.1,0
 48-58,0,0,0,0,1.17,0,0,33.11,0,0,2.33,0.39,0,0,0,0.39,0,0,0,2.95,2.35,0,117.68,0,1.72,1.03,0,0,0,0.42,0,0,31.54,0
 60-70,0,0,0,0,1.57,0,0,54.93,0,0,1.78,0,0,0,0,0,0,0,0,4.28,1.26,0,138.46,0,0.58,0,0,4.25,0,0.58,0,0,15.91,0
 72-82,0,0,0,0,4.68,0,0,100.25,0,0,8.6,5.85,0,0,0,0.93,0.71,0,0,2.69,2.96,0.71,163.71,0,1.71,2.99,0,1.14,0,3.04,0,0,11.51,7
 84-94,0,0,0,0,2.71,0,0,61.55,0,0,1.69,3.88,0,0,0.59,0.73,0,0,1.49,4.58,6.65,0,69.91,0,0,0,0,2.47,0,2.6,0,0,27.47,27.97
 96-106,0,0,5.82,0,6.33,0,0,51.98,0.62,1.3,3.2,8.42,0,0,0,0,0,2.29,0,0,6.55,0,106.14,0,0.61,0,0,3.62,0,1.56,0,0,6.68,27.73
108-118,0,0,0,0,5.57,0.97,0.67,22.22,0.95,0,7.29,6.16,0,0,0,1.3,0,1.43,2.42,1.7,10.85,0,143.96,0,0,1.19,0,0,0,3.5,0,0,5.61,38.68
120,0,0,0,1.66,1.85,0,0,20.91,0,0,9.4,1.17,0,5.1,0,1.4,0,0,0,1.08,0,0,102.8,0,7.95,0,0,6.63,0,1.86,0,0,10.24,11.05
