stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,27.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0
  7-9,0,5.59,0,7.94,0,0,0,0,0,0,0,0,0,0,103.48,16.78,0,0,0,0,0,0
 10-12,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,22.5,0,0,6.22,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0.96,0,1.12,0,1.06
 24-34,0,0,0.61,1.03,0,0,0,0,0,0,0,0.88,0,0.85,5.26,0,0,1.86,0.66,0,0,11.02
 36-46,0,0,0.7,0,0,0,0.83,0,0,3.12,9.04,0.71,0,0,10.51,0,0.77,2.88,0,0.78,0,6.93
 48-58,0,0,0,1.22,0.51,0,0.95,0,0,0,0,3.64,0,0,1.88,0,0,5.91,0,1.02,0,6.15
 60-70,0,0,3.77,10.5,0,0,2.27,0,0,5.2,0,1.57,0,0,1.24,0,0,1.68,0,1.37,0,2.1
 72-82,0,0,1.23,3.4,0,0,0,0,0,0.69,0.66,2.8,0,0,7.66,0,0,2.57,0,0,0,17.11
 84-94,0,0,0,0,0,0,0.69,0,0,2.43,0,0,0,0,8.35,0,0,9.25,0,0,0,4.98
 96-106,0,0,0.91,6.54,0,0,0,0,0,5.35,0,0,0,0,22.33,0,0,11.41,0,0,0,3.88
108-118,0,0,1.7,5.33,0,0.62,0,2.4,0,1.5,0,0,4.21,0,8.92,0,0,3.58,0,1.3,0.42,7.15
120,0,0,0,10.6,1.05,0,0,1.28,0,9.41,4.52,0,0,0,3.01,0,0,37.41,0,0,0,28.36
