stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,760.48,14935.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.45,0,0,0,0,0,0,0
  5-6,1298.11,16384.89,0,0,0,0,0,0,0,0,78.14,0,0,0,0,0,483.55,19.16,0,0,143.87,0,355.39,0,0,0,0,0,0,0
  7-9,218.65,244.11,354.65,0,0,696.1,0,0,0,0,269.39,0,0,0,0,0,6493.41,285.73,0,0,2254.41,0,4.71,36.87,0,0,0,0,0,0
 10-12,0,144.83,159.35,0,18.46,268.12,0,0,0,0,75.4,0,0,0,0,0,2508.28,117.44,0,0,1154.04,0,7.35,21.35,4.43,132.43,0,7.28,0,0
 14-21,0,0,11.38,163.65,53.75,44.51,0,0,8.36,11.97,10.74,0,4.38,5.84,50.37,46.65,454.41,48.18,3.15,5.98,17.03,0,15.15,3.25,109.34,9.34,20.02,123.82,123.17,3.29
 24-34,0,0,0,2.88,4.84,6.49,0,0,0,0,0,0,0,2.52,3.39,5.41,30.58,8.27,0,0,0,0,21.85,0,0,0,0,2.25,5.62,13.08
 36-46,0,0,0,2.12,0,0,0,0.77,0,0,0,0,0,1.97,1.8,0.77,1.53,1,0,0,0,0,11.29,0,0,0,0,0,0,5.07
 48-58,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0.75,0,9.04,0,0,0,0,0,11.12,0,0,0,0,0,1.2,0.47
 60-70,0,0,0,2.76,0.67,15.9,0,0,0,0,0,0,0,0,2.57,0,7.35,0,0,0,0,0,9.15,0,0,0,0,0,0,0
 72-82,0,0,0,0.55,0,16.05,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,2.62,0,0,0,0,0,0,1.22
 84-94,0,0,0,0,0,36.85,0,0,0.9,0,0,0,0,0,1.77,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.66
 96-106,0,0,0,0,0,22.6,0.58,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,1.23,0,0,0,0,0,0,0.82
108-118,0,0,0,0.57,0,8.17,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,1,0,0,0,0,0,0,0
120,0,0,0,0,0,15.06,0,0,1.62,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
