stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,53.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.9,136.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.86,0,29.55,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,107.69,12.19,0,0,12.52,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,0,37.23,0,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,392.89,40.6,0,0,103.94,0,0,31.69,0,6.57,0,0,0,0
 14-21,0,0,0,0,4.08,0.85,0,0,0,90.04,0,0,0,0,0,0,8.22,0,3.97,74.6,1.42,0,7.66,7.57,0,4.7,72.2,2.15,232.69,0,0,0,0
 24-34,0,0,0.61,1.9,6.36,0,0,1.64,0,51.29,1.02,1.11,0,0,0.64,1.51,5.92,0,0,40.03,0,6.42,1.52,0,0,0,48.35,3.91,121.25,0,0,0,0.79
 36-46,0,0,0,0,0,0,0,9.86,0,69.59,0,0,0,0,0.71,0,0.9,0.55,0.81,41.15,0,13.37,0.72,0,0,0,14.43,0,69.35,0,0,0,0
 48-58,0,0,0,0,5.82,0,0,2.63,0,58.62,0.41,0,0,0,0.4,0,6.05,0,0,35.59,0,12.27,4.58,0,0,0,2.7,0,77.89,0,0,0,0
 60-70,0,0,0.57,0,0,0,0,3.16,0.76,101.57,0,0,0,0,8.11,0,10.63,0,0,42.09,0,28.07,22.55,0,0,0,6.76,0,48.02,0,1.11,0,0
 72-82,0,0,1.9,3.31,0,0,0,14.03,0,121.84,1.48,0,0,0,10.15,0,16.46,0,0,101.81,0,16.05,2.64,0,0,0,2.71,0,34.92,0,0,0,0
 84-94,0,0,0,0,2.6,0,0,17.75,0,97.5,4.34,0,0,0.68,8.13,0,11.43,0,0.71,55.71,0,13.43,4.69,0,0.7,0,4.79,0,31.71,0,0,0,0
 96-106,0,0,6.51,0,0,0,0,12.72,0,75.75,3.81,0,0,0,29.19,0,3.37,0,0,38.19,0,24.44,5.01,0,0,0,3.39,0,32.09,0.69,0,0,0
108-118,0,0,1.97,0,0,3.05,0.78,12.47,0,84.81,0,0,0,0,11.57,6.77,0.61,0,0,68.52,0,9.31,4.72,0,0,0,9.5,0,10.08,0,0,2.12,0
120,0,0,0,0,0,0,0,0,0,107.33,0,0,4.69,0,22.05,3.79,1.57,0,5.19,39,1.25,40.61,2.34,0,0,0,9.83,0,27.93,0,0,0,14.33
