stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0
  7-9,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.26,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18.63,4.65,0,1.77,0,0,1.18,2.3,0,0,0,0,0,3.19,0,2.88,54.41,0,0,0,5.39,0,0,10.16,0,4.94,22.7,0,0,0,0
 24-34,0,0,0,0,0,8.44,0,0.69,1.55,0,1.24,0,0,1.44,0,6.16,0,1.22,60.44,0.67,1.64,0,0,0,0,0,0,0,13.71,0,1.89,0,0
 36-46,0,0,7.5,0,0,5.67,1.17,0,0,0,1.65,0,0,0,5.07,1.63,0.71,2.48,56.99,0,0,0,0,0,11.98,0,1.25,0,11.5,0,0,0,0
 48-58,0,0,0,0,0,16.14,0,0.55,2.12,0,0.5,1.75,0.38,0,0,7.86,0,0.39,33.13,0.5,0.88,2.92,0,0,0,0,0,0,3.41,0,6.77,0,0.92
 60-70,0,0,6.06,0,0,7.01,0,0,8.74,1.43,0,0,0,0,0,11.78,0.65,1.06,59.1,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.28,0,0,10.96,0,1.88,9.2,0,0,2.2,0,0,0,4.68,1.79,0.73,36.97,0,0,0,0,0.8,0,0,0,0,2.66,0,1.95,0,0
 84-94,0,0,1.6,0,0,2.9,0,0,2.62,0.61,0,0,0,0,0,15.02,0,0.91,6.51,0,0,1.67,0,0,1.37,0,0,0,0,4.61,0,0,0
 96-106,0,0.61,1.2,0,0,3.86,0.57,0,2.86,1.38,0,0,0,0,0,13.85,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0
108-118,0,0,0,0.66,1.81,6.43,0,1.08,8.72,0,0,0,0,0,0,11.89,0.69,3.37,27.46,0,0,0,0,0,0,0,0,0,1.73,0,0.69,0,3.15
120,0,0,0,0,0,10.98,0,4.45,0,0,0,0,0,0,0,15.82,0,1.23,105.49,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0
