stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.53,489.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.23,1018.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.76,14.47,0,0,7.71,0,10.99,0,0,0,0,0,0,0,0,0,0
  7-9,21.46,10.24,0,57.7,0,0,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.35,15.67,0,0,232.25,0,3.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.03,0,47.09,0,8.6,115.42,0,0,0,0,19.02,0,0,0,0,0,0,0,0,0,0,0,914.66,69.48,0,0,293.37,0,11.11,0,83.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.79,66.63,8.2,8.04,0,0,4.13,1.29,0,1.22,0,1.48,0,0.93,0,0,11.77,0,0,10.69,229.29,12.82,1.23,2.72,8.22,0,8.14,42.88,3.01,1.03,21.03,51.45,0,0,0,0,0
 24-34,0,0,0,2.24,11.1,1.87,12.11,1.14,0,4.75,0,0,0.75,0,0.61,0,0.61,1.1,0,25.28,0,0,9.48,178.7,1.53,0,1.62,0,0,1.29,0,0.97,0,1.93,40.01,0,0,3.86,0,0
 36-46,0,0,0,0,9.76,0,33.24,0,0,5.89,0,0,2.3,0,0.58,1.21,1.47,8.02,0,25.56,1.37,0,3.42,165.39,2.39,2.06,0,0,0,6.85,0,1.96,0,0,41.72,0,0,1.59,0,2.27
 48-58,0,0,0,0,0.77,0,27.57,0.56,1.69,2.67,0,0,0.44,0,0.38,0.38,0,1.65,0.4,18.23,0,0,1.92,68.42,0.46,1.13,0.4,0,0.45,7.15,0,0.52,0,0,24.97,0,0.42,2.46,0,0
 60-70,0,0,0,0,3.41,0,11.45,0,0,2.69,0,0,0,0,0,0,0,0,0,10.62,0.84,2.25,6.21,36.26,0,2.02,0,0,0,1.2,0,0,0,0,11.82,0,0,0,0,0
 72-82,0,0,0,0,1.08,0,12.32,0,0.78,19.27,2.15,0,0,0.61,0.54,0,1.43,1.77,0,22.77,0,2.69,5.22,39.31,0,1.14,0,0,0,0.66,0,0,0,0,1.39,0.88,0.9,3.37,0,0
 84-94,0,0,0.98,0,5.9,0,12.85,0,1.05,9.78,0,0,0,0,1.49,0,1.09,1.37,0,17.96,0,0,0.7,31.6,0.6,4.73,1.46,0,0,5.65,0,0.57,0,0,9.74,0,0,1.1,0,0
 96-106,0,0,0,0,2.75,0,4.77,0.62,0,15.06,0,0,0,0,1.5,0,0,0,0,13.88,0,1.14,0.62,2.85,0.62,1.63,0,0,0,4.31,0,0,0,0,0,1.14,0,0,0,4.6
108-118,0,0,0,0,4.4,0,8.66,0.48,0,19.07,0,0,0,1.03,0,0,0.89,0.48,0.51,17.4,0,0.45,2.09,31.87,1.37,2.17,3.92,0,0,6.27,0,0,0,0,1.33,0.43,0,4.98,2.24,0
120,0,0,0,0,0,0,4.68,0,0,13.17,0,0,0,0,0,0,0,0,0,13.2,0,0,0,8.49,1.39,4.59,1.86,0,0,0,0,1.21,0,0,0,0,0,0,0,0
