stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.87,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,162.19,0,0,10.84,0,0,0,0,0.85,0,0,0.87,0,0,100.9,1.3,15.2,0,0,26.84,31.4,0.95,0,0,15.94,0,2.06,0,7.83,0,41.16,628.18,3.24,0,0,0,0,2.19
 24-34,0,0,1.09,192.85,0,0,68.82,86.79,0.59,0.68,4.52,2.05,1.45,0,0,0,2.08,120.76,2.68,62.54,1.59,0,87.57,145.65,0.68,4.33,1.48,0,0,24.53,0,0.95,2.63,26.37,624.53,18.02,0,0,5.55,0,14.17
 36-46,0,0,0.56,83.67,0,0,39.49,91.77,22.4,4.99,2.1,1.28,0,0,0,0,0.61,140.57,0.7,73.96,0.98,0,39.53,110.36,2.08,0,3.03,0,0,5.69,0,0,0,20.87,18.49,20.42,0,0,6.38,0,26.78
 48-58,0,0,0,116.83,0,0,65.37,51.66,6.55,2.35,4.99,3.34,0,2.4,0,0,0.97,250.26,3.29,60.49,0.49,0,28.29,113.15,0.89,0.91,0.87,0,0,7.08,0,0,0.93,4.39,0,8.14,0,0.42,3.72,0,10.19
 60-70,0,0,0,50.37,0.79,9.27,100.72,33.38,5.46,15.14,7.37,21.98,0,2.38,0,4.65,0.65,272.29,7.49,52.44,0,0,11.98,116.37,8.42,0,6.41,0,0,2.83,0,10.6,31.01,0,0,4.47,0,0,0.87,0,2.79
 72-82,0,0.64,0.76,51.63,3.99,163.96,111.37,13.72,4.24,12.56,23.5,87.06,0,2.02,1.08,2.58,5.52,830.2,0,81.66,2.18,5.04,20.32,218.16,0,0.56,0.57,0,0,9.72,0,0,6.22,1.62,0,18.55,0,0.57,0.9,1.65,18.29
 84-94,0,2.07,0,109.44,10.73,404.66,216.29,6.05,8.84,4.97,8.72,142.56,0,5.4,3.91,1.5,0,1999.89,2.56,71.82,3.11,1.81,12.13,225.07,0.67,8.48,3.42,0,0,35.83,0,0,41.45,0.61,0,8.61,3.41,0,0,6.33,2.83
 96-106,0,4.5,0,158.28,42.56,538.92,306.66,14.75,11.11,47.52,71.32,257.82,2.85,8.38,1.53,0,8.44,3420.19,0,185.23,6.39,2.28,38.13,665.08,1.47,7.2,1.86,0,1.57,81.97,2.06,0,23.58,6.75,0,16.94,9.4,5.33,10.17,6.53,17.84
108-118,0,0.8,0.92,257.39,26.75,1195.4,347.42,24.15,20.55,14.15,63.5,222.59,2.64,8.44,1.84,24.64,6.19,5909.17,2.1,240.59,1.04,0.46,69.12,522.62,6.11,0.96,11.3,0,2.89,58.75,0,0,34.65,6.31,0,14.09,5.68,0,11.02,7.68,35.14
120,0,0,1.28,203.01,5.08,419.68,164.31,31.17,32.57,4.79,47.6,115.47,0,16.44,1.45,7.26,0,2370.96,3.12,192.67,11.91,23.46,21.2,290.93,3.79,0,15.49,0,9.96,27.38,0,0,44.71,0,0,0,0,1.46,0,0,37.81
