stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,205.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.57,0,0,0,0,6.84,9.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78,5.83,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0.88,0,2.5,0,0
 24-34,0,0,0.63,0,0.61,0,0,0,0,0,0,1.2,0,10.2,0,0,0,0,5.64,1.24,0
 36-46,0,0,0,0.58,1.31,0,0,0,0,0,0,0.64,0.58,14.33,0,0,0,0,2.67,0,2.25
 48-58,0,0,0,0,2.81,0.46,0.48,0,0,0,0,0.48,0.38,31.43,0,0,0,0,1.13,0,1.32
 60-70,0,0,0,0,0.92,0,1.62,0,0,0,0,0,0,2.89,0,0,0,0,8.44,0,0
 72-82,0,0,0,0,4.88,0,0,1.5,0,0,0,3.38,1.22,15.17,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.6,0.59,1.34,2.52,0,0,0.57,0,0,6.26,0,0,0,2.39,0,0,0.8
 96-106,0,0,1.56,0,0,0,1.86,1.76,0,0,0,0,0,2.58,0,5.27,0,0,0,0,0
108-118,0,0,0,0,4.99,0,1.13,9.74,0,0.49,0,2.8,0.67,5,0,0,0,0,0,0,0
120,0,0,2.2,0,0,0,0,27.58,0,0,0,0,0,8.51,0,0,0,0,0,0,0
