stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.98,24.8,5.21,0,3.91,0,0,0,4.88,4.66,2.15,0,0,0.92,0,0,0,0,4.3,0,0,4.73,68.18,0,2.84,0.8,3.49,0,2.5,4.66,0.85,25.1,15.02,0,0,5.59,0,0
 24-34,0.84,0.62,9.82,0,0,4.92,0.75,1.33,0,0.83,0.63,0,0,0,2.8,0.97,4.02,0,0,7.56,0,0,5.64,58.32,0,5.87,5.13,0,0,32.2,0,2.91,1.43,14.23,0,0,3.07,0,0
 36-46,0,0,4.07,0,0,2.85,0,0,1.52,2.12,1.33,0,0,0,0,0,1.42,0,0,6.29,0,0,5.32,19.56,0,12.04,1.66,0,0,25.64,0,0,0,7.71,0,0,0,0,0
 48-58,0,0,9.16,0,0,5.34,0.86,0,0.46,1.69,0,0,0,0,0,3.27,0.39,0,0.51,6.59,0,0.51,0.83,33.96,0,3.78,0.74,0,0.45,10.49,0,2.86,0,4.75,0,0,0,0,0
 60-70,0,0,23.31,0,0,45.33,0,2.41,7.64,5.91,4.64,0,0,0,0,0,0,0,0,3.41,0,0,14.71,47.59,3.13,1.58,1.52,0,0,7.73,0,0.97,0,13.01,0,0,4,0,13.57
 72-82,0,0,8.42,6.82,0,28.37,0,0,0.92,14.04,1.93,0.52,0,1.2,0,1.36,0,0,0.87,17.83,0,0,2.54,38.4,0,10.5,7.53,0,0,14.13,0,4.56,0,5.76,0.74,0.61,0,0,0
 84-94,0,0,10.23,0.59,2.83,14.95,0,0,0.75,9.92,2.93,0,0,1.85,1.48,2.01,2.71,0,0,14.43,0,0,1.8,48.5,0.65,4.74,10.48,0,0,35.19,0,1.67,0,16.57,0.86,0,3.87,2.3,0.74
 96-106,0,1.03,6.84,16.7,1.54,24.39,0,2.37,0.71,7.34,2.38,0,1.41,0,2.81,6.84,1.37,0,0,3.56,0.7,0,0,44.61,0,11.89,6.73,0,0,32.22,0,0,0,2.73,2.26,0,3.41,0.85,2.02
108-118,0.77,0,16.56,2.66,4.9,33.72,0.44,1.97,1.38,18.72,9.14,0,0.8,2.64,2.66,5.96,0.45,3.69,1.61,12.66,0,5.39,2.55,45.99,0,11.83,3.33,0,0,20.25,0,1.22,0,0.62,0.81,0,1.42,3.04,10.79
120,0,0,38.19,5.14,2.35,37.81,0,0,0,6.35,6.21,0,0,0,6.47,5.71,0,0,0,36.04,0,3.51,3.52,74.03,0,16.58,23.19,0,0,22.9,0,0,0,0,2.83,0,0,0,0
