stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,41.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0
  5-6,9.47,89.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.19,0,0,8.16,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,20.54,0,0,3.65,0,0,0,0,0,0
 14-21,0,0,0,0.91,5.98,0,0,0,0,0,0,0,0,0,0,0,3.64,0,1.73,0.94,0,0,3.91,1.4,0.86,0,0,0
 24-34,0,0,0,0,0.78,0,0,2.55,0.73,0,0,0,0.64,0,0,0,0.6,0,5.73,0,1.16,0,0,0,1.35,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,11.79,0,0,0,0,0,3.15,0,0,0
 48-58,0,0,0,0,0.7,0,0,14.92,0,0,0,0,0,0,0,0,0.71,0,16.39,0,0,0,1.3,0,2.45,0.49,1.48,0
 60-70,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,3.11,0,36.78,0,0,0,0,0,0.72,0,0,0
 72-82,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0.5,3.15,0,58.98,0,1.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,12.7,0,2.29,0,0,0,0,0,1.76,0,0,21.04,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,2.85,0,11.78,0,0,0,0.91,0,0,0,2.17,0
108-118,0,0,4.9,0,0,0,0,7.17,1.8,1.84,0.67,0,0,3.53,0.46,0,2.62,2.64,19.57,0,0,0,0,0,1.83,0,0,4.17
120,0,0,0,0,0,1.03,1.6,1.69,0,7.05,0,0,0,1.69,0,0,0,0,31.29,2.85,0,0,0,0,14.14,0,0,0
