stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,1.35,0,0,0,0,0,0,0.95,0.86,0,0,0,0,0,0
 36-46,0,0,0.68,0,0,0,0,0,0,0.56,2.19,0,0,0,0,0,0
 48-58,0,0,2.31,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0
 60-70,0,0,71.81,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0
 72-82,0,0,215.68,0,0.82,0,0.49,0.91,0,3.68,7.3,1.23,0,0,0,0,6.67
 84-94,0,0,120.72,0,6.96,0,0,0,0,2.9,5.46,0,0,0.71,0,6.36,0
 96-106,0,1.95,224.13,0.63,3.93,0.86,0.57,0.77,1.56,0,23.83,0,0,0.64,0,0,2.1
108-118,0,0,147.09,0,3.92,0,0,0,0,0,11.36,0,0,0,4.29,0,0
120,0,0,46.99,0,11.59,0,0,0,0,0,2.75,0,0,0,0,0,0
