stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.42,0,0,0,68.55,3.59,32.5,0,0,0
 10-12,0,12.26,0,0,0,0,0,0,0,0,35.48,14.51,3.83,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.87,2.73,0,0,0,0.8,1.01
 24-34,0,0,0,0,0,0,0,0,0.76,0,10.7,0,0,1.94,0.59,0.72
 36-46,0,0,0,0,0,0,0,0,0.76,0,1.53,0,0,0,0,0.67
 48-58,0,0,0.44,1.44,0,0,0,0,2.98,0,3.47,0,0,0,0,0
 60-70,0,0,0.63,4.26,0,0,0,0,2.85,0,9.94,1.13,0,0.59,0,0
 72-82,0,0,0,6.56,1.48,0.71,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.65,2.34,0,0,1.91,3.53,0,0,0,0,0,0,0
 96-106,0,0,0,0.56,0,0,0,0,0,0,2.44,0,0,0,0,0
108-118,0,0,0,2.66,1.13,0,0,0,1.06,0,0,0,0,0,0,0
120,0,0,0,2.52,4.07,0,0,0,0,0,0,0,0,0,0,0
