stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,0,26.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,5.11,4.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.48,4.69,0,0,6.48,0,0,0,0,0,0,0
 14-21,2.31,0,1.07,0,26.03,3.9,0.88,0,0,0,0.85,0,0,4.18,0,8.92,15.17,0,4.47,0,7.05,0,10.13,0,7.41,10.92,0,0
 24-34,0,0,0,0,0.59,0,2.27,0,0,0,0,21.11,2.46,4.31,0,10.42,30.32,0,0,0,0,0.95,0,1.27,0,7.42,0,0
 36-46,0,0,0,0,0,0.57,1.03,7.53,0.65,0.97,0,16.12,0,4.97,0.63,6.85,46.56,0,0,0,0,0,0,0,0,6.94,0,0
 48-58,0,0,0,0.43,0,0,4.09,0,0.47,0.42,0,24.61,0,5.34,0.41,0.51,40.33,0,0,0,0,0,0,0,0,3.12,0,0
 60-70,0,0,0,0,5.32,0.65,5.02,0,0,1.47,0,43.01,0,13.51,0.91,1.18,51.01,0,0,1.24,0,0,0,0,0,11.54,9.5,0
 72-82,0,0,0,0,1.07,0,12.17,0,0,7.96,0,48.78,0,2.77,0,0,44.89,0,0,0.56,0,0,0,0,0,2.39,2.06,2.1
 84-94,0,0,0,0,5.71,0.92,14.78,0,0,14.07,0,64.22,0,5.58,1.22,0.7,33.3,0,0,0,0,0,0,0,0,4.49,2.81,0
 96-106,0,0,0,0,0,0,23.8,0,1.39,12.05,0,86.59,0,4.43,0,1.59,51.22,0,0.93,0.77,0,2.62,0,0,0,0,3.78,0
108-118,0,0,0,0,0,0,4.04,0,1.03,14.61,0.9,107.33,1.1,1.38,0,1.21,59.04,0,0,1.04,0,0,0,0,0,4.11,0.48,3.31
120,0,0,0,0,0,0,14.32,0,0,3.49,0,145.88,0,0,0,2.52,52.86,0,0,0,0,0,0,0,0,0,3.36,0
