stage,epidermis,eye,ionocyte,mesenchyme,mucous,neural,olfactory,otic,periderm,taste
  7-9,0,0,0,0,0,0,0,0,5.34,0
 10-12,0,0,0,0,0,17.31,0,0,3.3,0
 14-21,0,0,2.99,0,0,0,0,0,2.59,0
 24-34,0,1.05,0.89,0,4.35,3.73,0.71,0,13.98,0
 36-46,0,0,0,0,0.6,7.05,0,0,35.26,0
 48-58,0,0.47,0,0,0,0,0,0,12.62,0
 60-70,0.66,0,0,0,3.18,2.03,0,0,15.43,0
 72-82,0.53,0,0,0,0.61,0,0,0,1.24,0.56
 84-94,0.59,0,0,0,0.84,0,0,0,13.51,0.57
 96-106,0.63,3.11,0,0,0,0,0,0.64,3.54,1.57
108-118,2.67,0,3.5,1.07,0,0.46,0.42,0,3.74,0.42
120,0,0,0,0,0,0,1.11,0,3.18,0
