stage,erythrocytes,glial,mesenchyme,muscle,neural,olfactory,pronephros,spinal_cord
 14-21,1.19,0,1.17,0,0,0,0.89,0
 36-46,0,0,0,0,0,0,0,0.78
 48-58,0,3.32,0,0,1.75,2.54,0,4.6
 60-70,0,0,0,0,0.87,0,0,0
 72-82,0,0,3.38,0,9.85,2.96,0,0
120,0,0,0,1.9,0,2.49,0,0
