stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.02,1.36,0.6,0,0,0,0,0,0,2.97,0,1.4,0,0,0,1.66,0,2.52,0
 36-46,0,0.67,0,0.81,0,0,0,0,0,0,0,0,0,5.06,0.79,0,0,0,5.57,0.67,0.61,0,0,0.75,2.48,0,0,0
 48-58,0,0.69,0,5.75,0.51,0,0,0,0,0,0,0,0,1.21,0,0,0,0,25.14,0,0.56,0,0,0,2.89,0,1.28,0
 60-70,0,7.97,0,40.08,0.68,0,3.28,0,0,0,0,0,1.28,9.86,0,6.8,0,1.15,26.81,0,1.22,0,0,0.75,0,0,0,7.46
 72-82,1.84,0.53,0,51.2,0,0,3.07,0,0.59,0,0.53,0,0,0,0,2.39,0.95,0,17.99,0,0,0.75,0,0,5.63,0,3.41,0
 84-94,0,4.26,0,38.2,0,2.12,2.29,0,0,0,0,0,2,0,0,0,0,0,24.38,0,0,0,0,4.68,1.67,0,0.83,0
 96-106,3.83,10.02,0,51.34,0,0,9.32,0,0,0,0.73,0.94,4.44,0,0,1.94,0,0,30.1,0,0,0,0,6.86,0,0,1.54,0.62
108-118,0.75,3.57,0.82,33.53,0,0,1.72,0.46,0,0,2.21,0.58,6.21,0,0,4.63,0,0.41,23.65,0,0,0.66,0,0.54,8.99,0,2.06,4.97
120,7.24,12.99,0,24.21,1.04,0,12.23,6.71,0,0,3.1,1.4,0,0,0,8.53,0,0,69.77,0,0,0,0,3.06,0,5.29,12.79,9.68
