stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,22.42,1.51,0,0,1.79,0.9,0.91,0.99,1.75,0,0,0,0
 24-34,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0.62,0.68,20.81,1.36,0,0,0,0,0,0,3.8,0,0,0,0
 36-46,0,0,0.84,3.7,0,0,0.77,0.87,0,0,0,0.73,0,0,0,0,2.95,0,46.38,0,0,0,0,0,0,0,5.26,0,0,0,0
 48-58,0,0,0,1.16,0,0,6.89,0,0,7.18,0,0.48,0,0,0,0.54,3.07,1.3,25.18,1.18,0.67,0,9.73,0,0,0,2.38,0,0,0,0
 60-70,0,0,0,0,0,0,9.91,0,5.57,3.53,0,0,0,0,0,0,15.76,0,25.54,0,3.8,0,3.58,0,0,0,5.67,0.63,0,0,0
 72-82,0,0,0,4.13,0,0,8.71,0,0,7.57,1.57,1.76,0,5.2,0,0.64,15.83,1.93,24.65,0,0,0,6.22,0,0,0,0,0,2.28,0,0
 84-94,0,0,0,0.71,0,0,7.6,0,0,5.2,1.24,0,0,0,0,0,8.63,2.9,13.78,0,0,0,1.94,0,0,0,0,0,0,2.71,0
 96-106,0,0,0,0,0.82,0,5.05,0,0,7.38,0.62,0,1.13,0,0.77,0,12.2,0,3.77,1.43,0,0,0,0,0,0,0,0,1.88,0.68,3.33
108-118,0,0,0,0.62,0,0.59,11.48,0.88,3.04,15.75,1.29,0,0.87,0,0,0,19.13,0,14.88,0,0,0,3.23,0,0,0,0,0,6.51,0.57,0
120,1.12,0,0,3.63,0,0,40.72,0,10.19,19.68,1.92,0,4.52,0,0,0,71.91,7.36,28.82,5.37,0,0,0,0,1.14,0,0,0,0,0,0
