stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.66,234.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.94,194.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,7.98,7.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.73,15.84,0,16.17,0,0,0,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.27,14.95,0,0,39.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.34,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.35,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,249.64,922.97,69.17,0,0,0.82,0,0,0,1.91,14.54,0,0,0,0,4.1,0,16.71,0,14.59,23.09,2.99,0,1.77,7.21,1.01,0,2.2,0.82,0,4.29,14.49,0,0,1.35,0,0
 24-34,0,0,269.47,294.05,10.93,1.36,0,2.87,0,0,0,0,10.23,0,0,0,0,110.54,0,2.26,0,0,43.62,0,0,0,0,0,0,0,0,5,0.6,13.98,0,0,0.74,0,0
 36-46,0,0,140.22,17.89,11.41,0,0,3.21,0,0,0.62,2.3,50.93,0,0,0,0,85.93,0,3.56,0.95,0.65,63.97,0.7,0,1.01,0,7.05,0,0,0,0,0,8.6,0,0,0,0,2.26
 48-58,0,0,101.6,12.94,1.87,0,0,8.4,0,0,0,7.66,58.53,0,6.73,0,0,50.3,0,3.29,0.74,1.16,77.71,0,1.09,0.65,0,0.62,0,0,0,0,0,8.74,0,0,0.5,0,0
 60-70,1.12,0,33.76,0,9.69,0,0,8.63,0,0,0,11.5,105.18,0,0,0,0,56.32,0,3.94,0,0,50.74,0,0,0,0,0,0,5.3,0,0,0,1.41,0,0,0,1.41,0
 72-82,0,0,191.48,3.93,3.02,1.69,1.27,15.01,0,0.51,0,5.1,108.74,0,0,0,0,9.09,0,7.3,1.21,0,23.49,0,1.38,0,0,1.72,0,0,0,0,0,2.24,0,0,3.98,0,0
 84-94,0,0,519.26,34.04,0,3.04,4.56,41.77,0,0.58,0,2.8,367.08,2.68,0,0,5.33,23.85,0,3.41,0,0,95.03,0,0,2.63,0,6.44,0,0,11.24,0,0,0.63,0,0,0,0,0
 96-106,0,0,465.51,62.76,0.92,11.78,8.14,18.82,0,1.32,0,5.91,332.89,3.07,0.8,0,0,6.56,0,12.58,0,1.38,126.1,0.73,0,0.64,0,2.32,26.98,0,0,0,0,0,0.71,3.14,0,3.93,0.8
108-118,0,0,500.04,60.96,0.56,13.81,2.36,13.75,4.88,0.96,0,1.94,350.25,0.55,0,0.99,0,39.66,2.16,6.47,0,8.57,103.89,0,0,0,0,0.7,0,0,5.64,0,0,0,0.9,0,1.59,6.01,0.51
120,0,0,103.7,25.38,0,10.57,0,30.6,0,0,0,2.33,162.78,1.06,1.76,0,0,35.75,1.33,11.7,0,7.27,113.26,0,0,0,0,0,0,0,5.04,0,0,2.14,0,0,0,4.47,0
