stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.89,673.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0
  5-6,21.44,530.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.36,7.4,0,23.39,0,0,0,10.12,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0,0,0,141.8,44.03,0,0,85.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.24,0,10.68,0,6.59,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.05,6.95,0,0,127.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,0,6.29,0,0,3.5,0,0,0,0.86,1.79,0,0,0,0,0,0,0,0,13.78,0,4.36,55.41,5.6,0,0,0.85,0,0,15.23,0,2.47,21.43,18.2,0,0,5.02,0,0
 24-34,0,0,1.57,0.59,2.64,1.93,0,6.59,0,0,0.63,1.8,0,0,1.89,0,0.7,0,0,0,0,10.37,0,4.65,67.48,1.53,3.33,0.82,0,0,0,0,2.05,6.33,1.97,21.75,0,0,1.57,0,1.45
 36-46,0,0,0,0,0,0,0,3.12,0,0,4.03,0.59,0.72,0,0,0,0,0,0,0,0,10.17,0,2.48,36.65,0,0,0.71,0,0,0,0,0,0,1.34,3.21,0,0,1.37,0,0
 48-58,0.39,0,0,0,0.39,0,0,13.15,0,0,0.45,3.48,0,0,0.9,0,0,0.4,0,0.39,0.5,13.79,0.44,2.31,39.85,0,0,0,0,0,0.67,0,0,2.2,0,6.24,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.87,0,0,18.3,0.91,0.55,1.38,3.22,0,0,0,0,0,1.62,1.26,0,0,20.63,2.91,1.6,12.71,0,0,0,0,0.89,0,0,0,0,0,0,0.51,0.51,4.73,0,0
 84-94,0,0,0,0,0,0.76,0,11.55,0,0,0,1.54,0,0,0,0,0,0,0,1.64,0,11.02,0.86,2.38,10.68,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0.57,1.63,0
 96-106,0,0,0,0,1.57,0.63,0,3.61,0,0,0,1.58,0,0,0,1.52,0,0,0,1.13,0,19.61,0,0.61,14.26,0,2.91,0,0,0,0,0,0,0,0,2.36,0.82,0,0,0,0
108-118,0,0,0,0,0,0,0.99,14.54,0,0,0.43,2.4,0,0,0,0,0,2.62,1.24,0,0,5.3,0,4.01,10.88,0,0.46,1.02,0,0,0,0,0,0,0,1.68,0,0,1.43,0,0
120,0,0,0,0,0,3.09,0,0,0,0,1.66,0,0,0,0,3.17,0,6.75,0,0,0,18.11,2.35,5.12,16.35,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
