stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,61.79,0,0,0,25.12,0,0,0,0,0,0,0,2.08,0,0,5.12,0,1.93,9.7,3.14,0,0,0,0.96,1.09,0,0,0
 24-34,0,0,0,7.8,0,3.11,0,67.92,0.74,0,0,0,0,0,0,11.52,0,11.11,3.86,0,0.67,45.94,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.26,0,5.38,0,61.52,1.42,2.48,0,0,0,0,0,48.2,3.02,16.66,4.53,0,2.05,18.05,0,0,0,0,0,0.84,0,0,0
 48-58,0,0,0,17.34,0,4.9,0,31.17,11.58,3.26,0,0,0,0,0,80.75,3.39,31.9,29.26,0,0.42,32.07,0,0,0,0,0,1.11,0,0,0.8
 60-70,0,0,0,7.62,0,2.22,0.6,50.95,4.54,0,0,0,0,0,0,158.49,4.52,8.02,17.07,0,0,22.06,0,0,0,0,0,5.43,4.5,1.03,0
 72-82,0,0,0,8.61,0,25.57,0,9.71,4.93,6.29,0,0,2.93,0,1.61,253.39,0.74,31.55,30.54,0,0,46.82,0,0,2.53,0,0,0.89,3.12,11.54,0
 84-94,0.62,0,0,14.34,0,10.9,0,30.76,3.23,0,0,2.81,0,0,0,225.82,3.53,14.32,5.25,0,0,37.2,0,0,2.77,0,0,1.8,5.42,14.77,0
 96-106,0,0,1.62,18.55,0,4.53,0,35.13,0.72,2.55,0.67,0,2.03,0,0,187.15,1.02,15.02,23.81,0,0,35.54,0,0,2.6,7.65,0,0,13.59,30.85,0
108-118,0,0,0,13.06,0,33.6,0,38.48,5.69,0,0,0,4.24,0.43,0,235.92,0,15.85,39.6,0.43,0,44.83,0,7.42,1.19,0,0,0,0,25.6,0
120,0,0,0,7.09,14.54,30.77,0,43.1,1.52,0,0,0,0,0,0,179.91,0,12.74,81.66,0,0,33.21,0,0,11.56,0,0,7.32,8.97,31.64,0
