stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.01,111.71,0,0,0,0,0,0,0,0,0,22.04,0,0,12.41,7.49,0,0,0
  7-9,0,0,0,5.71,0,0,0,0,0,0,0,28.12,0,0,3.51,0,0,0,0
 10-12,0,7.57,0,0,0,0,0,0,0,0,0,53.86,0,0,0,0,0,0,0
 14-21,0,0,0,1.73,0,0,0,0,0.86,0,0,6.7,0,0,0,0,0,0,0
 24-34,0,0,0.61,0,0,0.73,0,0,0,0.82,1.79,9.03,0,0,0,0,2.52,0,0
 36-46,0,0,0,1.63,0,0,0,0,0,0,0,13.01,0,0,0,0,3.57,0,0
 48-58,0,0,0,2.75,0,0,0,0,0,2.07,0,2.32,0,0,0,3.07,1.6,0,0
 60-70,0,0,0,2.2,0,1.14,0,2.43,0,1.4,0,3.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.89,1.61,0,0,0,0,0.82,0,0.6,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.54,0.9,0,0,0,0,0,0
 96-106,0,0,0,2.59,0,2.43,0,0.92,0,0,0,8.55,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.36,0,0,1.38,0,0,0,0,0,2.81,0,0,0
120,0,0,9.64,0,0,0,0,0,0,0,0,18.7,0,3.01,0,2.23,0,7.76,2.97
