stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,44.05,10.12,0,8.25,0,0,0,15.88,4.48,1.3,0,0.95,0,0,1.84,1.08,26.1,0,0,14.52,245.92,4.03,0,0.92,6.5,0,1.02,35.02,4.51,4.64,31.55,102.52,0,1.05,0,0
 24-34,0.88,0,0,3.75,4.98,1.44,0,31.81,0,3.07,0,9.89,0.73,0.62,0,3.44,0,1.33,0.69,4.59,38.94,0,0,23.47,461.91,0.63,13.05,5.23,0,0,5.77,0,0.69,0,5.46,110.8,0,17.34,0,1.58
 36-46,0,0,0,0,2.8,2.52,0,70.9,5.44,0,1.13,12.12,0,0,0.56,0,0,0,0,0,17.47,0,0,3.96,283.62,0.6,4.06,0,0,0,5.51,0,0,0,2.53,74.12,0,0.58,0,1.52
 48-58,0,0,0.49,0,1.48,4.55,0,83.02,0,0,0,6.76,0,0.96,0,0,11.64,0,0,0,14.69,0,1.98,5.5,112.39,0.72,0,4.95,0,0,4.68,0,0,0,0,31.05,0,5.32,0,0.5
 60-70,0,0,0,0,3.7,0.57,0,110.82,0,1.33,0.86,17.43,0,0,0,1.11,0,2.61,0,0,21.93,0.58,0,0.95,147.88,0,12.28,0,0,0,6.33,0,0,0,0,30.66,0,0.72,0,8.5
 72-82,0,0,0,0,3.77,1.93,0,97.83,0,0,0.49,11.06,0,0.66,0,0,0,1,0,0,31.86,0,2.76,6.03,117.38,0.98,5.67,0.54,0,0,2.82,0,0,0,0,24.48,0.5,7.94,0.56,3.78
 84-94,0,0,1.62,0,4.02,0,0,33.81,0,0.66,0.69,6.11,0,0,0,0,0,1.35,2.03,0,24.78,0,0,1.9,68.61,0,0.93,0,0,0,5.35,0,0,0,0,21.61,6.55,1.9,0.63,0
 96-106,0,0,0,0,1.43,14.11,0.66,48.78,0,0,0.74,6.13,1.32,0,0.71,0,0,0,7.12,0,14.16,1.52,0,1.97,55.68,0,6.55,0,0,3.88,4.2,0,0,0,0,4.54,0.56,0,0,0
108-118,0,0,0,0,1.62,6.73,0,51.57,0,0,4.4,11.17,0.88,0,0,0.52,0.56,0,2.42,0,19.25,0,0,5.93,64.13,0,1.31,0.44,0,0,6.38,0,0,0,0,8.35,2.41,3.75,1.93,0.91
120,0,0,0,0,1.32,10.61,0,16.87,0,0,6.89,22.18,0,0,3.52,0,0,0,0,0,22.91,0,0,5.46,129.08,1.38,17.39,0,0,12.66,23.11,0,0,0,0,5.58,6.85,0,0,0
