stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0
 14-21,0,5.2,0,0,0,1.71,0,0.81,0,21.49,0,0,1.46,1.31,0,3.64,5.05,1.09,0
 24-34,0,6.41,0,0,0,0,0,1.38,0.68,11.9,0,0.82,0,0,0,0,4.37,0,0
 36-46,0,0,4.74,0,1.23,0,0,1.15,0.66,10.79,0,0.56,0,0,0,0,3.77,0,0
 48-58,0,0,14.37,0,0,7.16,0,4.08,0.48,10.71,0,0.39,0,0,0,0,2.85,0,0
 60-70,0,0,18.86,0,0,0.94,0,3.14,0,8.37,0,0,0,0,0,0,0,0,0
 72-82,0,0,6.24,0,1.66,0.86,0.73,5.93,2.35,4.96,0,0,0,0,1.23,0,2.84,0,0
 84-94,0.73,0,6.05,0.56,1.65,0,0,9.92,0,3.66,0,1.25,0,0,0,0,0,8.02,0.61
 96-106,0,2.5,2.54,0,3.48,2.43,0,4.44,2.43,11.26,1.76,0,0,0,0,0,0,3.62,0
108-118,0,0.65,11.06,0,0,0.62,0,7.72,0,8.57,0,0,0,0,0,0,0,1.55,0
120,0,0,17.48,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,1.82,0
