stage,eye,glial,mesenchyme,neural,periderm,spinal_cord
 14-21,0,0,0,0,0,2.55
 24-34,0,0,0,1.18,0,2.03
 36-46,0,0,0,9.11,0,0.94
 48-58,0,0.69,0,1.71,0,1.98
 60-70,6.21,0,0,2.97,0,0
 72-82,0,1,0.87,3.2,0,0
 84-94,9.73,0,2.04,0.98,2.1,0
 96-106,0,0,0,3.89,0,0
108-118,0,0.57,0,1.87,0,0
