stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,11745.1,238704.71,0,0,0,0,0,0,0,0,0,0,0,0,5997.31,0,0,0,0,0,0,0,0
  5-6,21822.18,412482.29,194.3,0,0,0,0,470.59,0,0,4917.58,494.84,0,1125.57,5183.04,0,0,0,0,0,0,0,0
  7-9,789.94,1443.76,1092.74,0,6.96,4401.98,0,1001.12,0,0,52163.46,847.41,0,8682.85,121.77,495.43,0,0,0,0,0,0,0
 10-12,0,50.66,12.36,0,0,359.53,0,59.07,0,0,1276.92,84.94,0,168.46,0,90.85,0,3.99,0,0,0,0,0
 14-21,0,0,0,11.07,1.03,0.81,0,1.79,3.15,0,29.44,0.95,1.54,2.22,0,0,6.25,0,0.99,7.76,3.41,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.36,2.07,0,0,0,0,0,0,0,0.7,0.79,0,1.33
 36-46,0,0,0,0,0,1.46,1.36,0,0,0,3.69,0,11.52,0,1.52,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.23,0,0,0.98,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.06,8.74,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23
 84-94,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,6.13,0
108-118,0,0,0,0.49,0,1.69,0,0,0,0,16.71,0,0,0,0,0,0,0,0,0,0,1.87,0
120,0,0,0,0,0,0,0,0,0,0,56.39,0,0,0,0,0,0,0,0,0,0,0,0
