stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0.95,11.36,0,0,1.05,0.88,0,0,0,5.15,0,0,0,0,0
 24-34,0,1.97,0,0,4.43,0,0,1.52,0,0,0,0,0,0,0,0,0,0,1.04,62.5,0,1.36,0,0,0.68,0,0.63,18.77,0,0,0,0,0
 36-46,0,0,0,0,0.66,0,0,3.94,0,0,0,0,0,0,0,0,1.45,0,1.07,219.75,0,0.69,0,0,11.04,0,0,33.39,0,0,0,0,0
 48-58,0,0,0,0,9.49,0.44,0,3.26,0,0,0,0,0,0,0,0.8,1.28,0,0,361.66,0,0,0,0,1.57,0.43,0,44.19,0,0,0,0,0
 60-70,0,1.79,0,0,172.19,0,0,13.28,0,0,0,0,0,0,0,0,14.09,0,0,789.55,0,0,0,0,0,2.9,0,83.99,0,0,1.28,0,5.87
 72-82,0,7.98,7.63,0,379.91,0,0,22.13,0,2.07,2.09,0,1.71,0,0,0,11,0,6.17,1416.37,0,1.86,0,0,0,0,0,73.3,0,0.9,0.63,0.91,9.27
 84-94,0,4.69,0.69,0,361.86,0.94,0,9.77,0,0,1.93,0,0,0,0,0,11.74,0,2.97,985.03,5.14,0,0,0,5.02,1.07,0,46.92,0,0,0,0,0
 96-106,0,22.17,9.32,0,426.57,0,4.9,19.02,1.1,0,0.56,2.47,0,0.94,16.49,0,27.97,0,2.81,1169.93,4.22,0,0,0,0,0,0,67.29,6.43,0,2.02,1.71,0
108-118,0,3.14,0,1.01,498.9,0,1.27,20.86,0.58,0,4.1,0.97,0,0,2.95,0,8.28,4.77,1.82,1073.27,1.51,4.65,0,0,3.16,0,0,33.16,0,0.5,1.5,2.76,0
120,0,33.97,0,0,408.12,0,0,30.67,1.04,0,4.79,0,0,1.15,3.84,0,20.19,0,0,2010.12,0,0,0,0,1.55,0,0,59.43,0,0,0,0,0
